PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCICLO;MOTOVEICOLO E QUADRICICLO SPECIALE O SPECIFICO;MOTOVEICOLO E QUADRICICLO TRASPORTO MERCI;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
BOLOGNA;ALTO RENO TERME;;5;4;121;6;0;;1;0;137
BOLOGNA;ANZOLA DELL'EMILIA;;13;4;130;16;2;;;2;167
BOLOGNA;ARGELATO;;3;1;111;10;0;;;1;126
BOLOGNA;BARICELLA;;3;;61;3;0;;1;0;68
BOLOGNA;BENTIVOGLIO;;7;1;65;12;0;;;0;85
BOLOGNA;BOLOGNA;86;441;71;4.423;1.171;16;2;13;7;6.230
BOLOGNA;BORGO TOSSIGNANO;;4;1;21;2;0;;;0;28
BOLOGNA;BUDRIO;;7;4;151;14;1;;;0;177
BOLOGNA;CALDERARA DI RENO;;21;4;143;24;0;1;1;0;194
BOLOGNA;CAMUGNANO;;2;;16;4;0;;;0;22
BOLOGNA;CASALECCHIO DI RENO;;24;2;400;72;1;1;;0;500
BOLOGNA;CASALFIUMANESE;;3;;26;3;0;;;1;33
BOLOGNA;CASTEL D'AIANO;;3;;18;0;0;;;0;21
BOLOGNA;CASTEL DEL RIO;;2;;9;0;0;;;0;11
BOLOGNA;CASTEL DI CASIO;;3;;29;3;0;;;1;36
BOLOGNA;CASTEL GUELFO DI BOLOGNA;;9;;57;4;0;1;;2;73
BOLOGNA;CASTEL MAGGIORE;;26;2;260;44;0;;;0;332
BOLOGNA;CASTEL SAN PIETRO TERME;;14;1;189;20;0;;;1;225
BOLOGNA;CASTELLO D'ARGILE;;6;1;61;7;0;;;0;75
BOLOGNA;CASTENASO;;21;4;286;43;1;;;0;355
BOLOGNA;CASTIGLIONE DEI PEPOLI;;7;;43;4;0;;;1;55
BOLOGNA;CREVALCORE;;6;3;102;11;0;;;1;123
BOLOGNA;DOZZA;;4;2;62;9;0;;;0;77
BOLOGNA;FONTANELICE;;1;;17;4;0;;;0;22
BOLOGNA;GAGGIO MONTANO;;6;;39;4;1;;2;2;54
BOLOGNA;GALLIERA;;3;;49;1;0;;;0;53
BOLOGNA;GRANAROLO DELL'EMILIA;;13;4;223;33;1;;;0;274
BOLOGNA;GRIZZANA MORANDI;2;1;;27;3;0;;;0;33
BOLOGNA;IMOLA;;95;23;776;76;0;;;3;973
BOLOGNA;LIZZANO IN BELVEDERE;;5;;8;1;0;;;1;15
BOLOGNA;LOIANO;;2;;27;3;0;;;0;32
BOLOGNA;MALALBERGO;;4;1;97;9;0;;;0;111
BOLOGNA;MARZABOTTO;;5;1;56;6;1;;;1;70
BOLOGNA;MEDICINA;;14;1;133;14;0;;1;1;164
BOLOGNA;MINERBIO;;8;;74;14;0;;;0;96
BOLOGNA;MOLINELLA;;18;3;142;14;0;;3;1;181
BOLOGNA;MONGHIDORO;;5;;21;7;0;;;0;33
BOLOGNA;MONTE SAN PIETRO;;4;3;105;19;0;;;0;131
BOLOGNA;MONTERENZIO;;11;1;61;9;0;;;0;82
BOLOGNA;MONZUNO;;7;1;64;5;0;;;0;77
BOLOGNA;MORDANO;;5;1;41;3;0;;;0;50
BOLOGNA;OZZANO DELL'EMILIA;;9;2;131;24;0;;;0;166
BOLOGNA;PIANORO;;6;;198;36;1;;;0;241
BOLOGNA;PIEVE DI CENTO;;4;;71;6;0;;;0;81
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;;10;;36;5;0;;;0;51
BOLOGNA;SALA BOLOGNESE;;12;2;118;16;1;;1;0;150
BOLOGNA;SAN GIORGIO DI PIANO;;12;1;89;10;0;;;2;114
BOLOGNA;SAN GIOVANNI IN PERSICETO;;20;17;226;30;0;;1;2;296
BOLOGNA;SAN LAZZARO DI SAVENA;;21;3;319;81;3;;;0;427
BOLOGNA;SAN PIETRO IN CASALE;;5;1;111;13;0;;;0;130
BOLOGNA;SANT'AGATA BOLOGNESE;;5;;63;8;0;;;0;76
BOLOGNA;SASSO MARCONI;;9;4;154;35;0;;;0;202
BOLOGNA;VALSAMOGGIA;;25;12;281;28;1;;;1;348
BOLOGNA;VERGATO;;10;1;44;10;1;;;2;68
BOLOGNA;ZOLA PREDOSA;;19;1;202;30;1;;;0;253
FERRARA;ARGENTA;;23;2;168;19;0;;;0;212
FERRARA;BONDENO;1;10;4;102;11;0;;;0;128
FERRARA;CENTO;;12;2;307;22;0;;;1;344
FERRARA;CODIGORO;;7;2;87;4;0;;;1;101
FERRARA;COMACCHIO;;18;6;192;24;0;;;0;240
FERRARA;COPPARO;;7;;147;17;0;;;0;171
FERRARA;FERRARA;;71;13;1.562;162;2;;;0;1.810
FERRARA;FISCAGLIA;;8;2;58;8;0;;;0;76
FERRARA;GORO;;2;5;34;4;0;;1;0;46
FERRARA;JOLANDA DI SAVOIA;;3;;14;4;0;;;0;21
FERRARA;LAGOSANTO;;5;;32;4;0;;;0;41
FERRARA;MASI TORELLO;;;;25;4;0;;;0;29
FERRARA;MESOLA;;7;2;39;5;1;;;0;54
FERRARA;OSTELLATO;;5;;55;4;0;;;0;64
FERRARA;POGGIO RENATICO;;6;;93;19;0;;;0;118
FERRARA;PORTOMAGGIORE;;4;;79;5;0;;;0;88
FERRARA;RIVA DEL PO;;3;1;46;6;0;;;0;56
FERRARA;TERRE DEL RENO;;8;1;86;11;0;;1;0;107
FERRARA;TRESIGNANA;;2;;47;6;0;;;0;55
FERRARA;VIGARANO MAINARDA;;7;;93;15;0;;;0;115
FERRARA;VOGHIERA;;2;;42;4;0;;;0;48
FORLI'-CESENA;BAGNO DI ROMAGNA;;3;3;27;3;0;;;1;37
FORLI'-CESENA;BERTINORO;;11;;85;19;0;;1;0;116
FORLI'-CESENA;BORGHI;;1;;14;5;1;;;0;21
FORLI'-CESENA;CASTROCARO TERME T.D.SOLE;;2;1;61;11;1;;;2;78
FORLI'-CESENA;CESENA;15;402;171;927;183;5;2;91;237;2.033
FORLI'-CESENA;CESENATICO;;29;3;237;46;0;;1;0;316
FORLI'-CESENA;CIVITELLA DI ROMAGNA;;2;2;16;1;0;;;0;21
FORLI'-CESENA;DOVADOLA;;2;;16;0;0;;;0;18
FORLI'-CESENA;FORLI';;120;32;946;142;1;;5;8;1.254
FORLI'-CESENA;FORLIMPOPOLI;;12;1;99;13;0;;11;13;149
FORLI'-CESENA;GALEATA;1;4;;9;3;0;;;0;17
FORLI'-CESENA;GAMBETTOLA;;14;2;69;9;0;;1;0;95
FORLI'-CESENA;GATTEO;;18;;65;15;0;;;0;98
FORLI'-CESENA;LONGIANO;;10;;50;10;0;;2;3;75
FORLI'-CESENA;MELDOLA;;9;3;62;9;0;;;0;83
FORLI'-CESENA;MERCATO SARACENO;;6;1;46;10;0;;;1;64
FORLI'-CESENA;MODIGLIANA;;5;1;33;4;0;;;0;43
FORLI'-CESENA;MONTIANO;;1;;7;1;0;;;0;9
FORLI'-CESENA;PORTICO E SAN BENEDETTO;;2;;6;0;0;;;0;8
FORLI'-CESENA;PREDAPPIO;;4;;56;12;1;;;0;73
FORLI'-CESENA;PREMILCUORE;;;1;3;0;0;;;0;4
FORLI'-CESENA;ROCCA SAN CASCIANO;;1;1;12;0;0;;;0;14
FORLI'-CESENA;RONCOFREDDO;;10;3;30;6;0;;;0;49
FORLI'-CESENA;SAN MAURO PASCOLI;;13;;89;17;0;;1;0;120
FORLI'-CESENA;SANTA SOFIA;;6;2;32;6;0;;;0;46
FORLI'-CESENA;SARSINA;;3;;19;2;0;;;1;25
FORLI'-CESENA;SAVIGNANO SUL RUBICONE;;24;4;125;28;0;;;0;181
FORLI'-CESENA;SOGLIANO AL RUBICONE;;1;;18;1;0;;;0;20
FORLI'-CESENA;TREDOZIO;;2;;9;0;0;;;0;11
FORLI'-CESENA;VERGHERETO;1;2;1;6;2;0;;;0;12
MODENA;BASTIGLIA;;1;;36;9;0;;;6;52
MODENA;BOMPORTO;;7;1;87;8;0;;1;3;107
MODENA;CAMPOGALLIANO;;17;1;91;13;0;;;0;122
MODENA;CAMPOSANTO;;3;;26;4;0;;;0;33
MODENA;CARPI;;56;14;731;71;3;;;0;875
MODENA;CASTELFRANCO EMILIA;;22;3;285;33;0;;;0;343
MODENA;CASTELNUOVO RANGONE;;17;4;159;18;1;;2;4;205
MODENA;CASTELVETRO DI MODENA;;10;2;86;22;0;;2;0;122
MODENA;CAVEZZO;;3;1;56;5;0;;;0;65
MODENA;CONCORDIA SULLA SECCHIA;;10;;50;9;0;;;0;69
MODENA;FANANO;;3;1;17;4;0;;;0;25
MODENA;FINALE EMILIA;;6;4;109;7;0;;;0;126
MODENA;FIORANO MODENESE;;21;3;182;17;0;;3;2;228
MODENA;FIUMALBO;;4;;7;0;0;;;0;11
MODENA;FORMIGINE;;19;2;314;30;0;1;1;2;369
MODENA;FRASSINORO;1;5;;14;1;0;;1;1;23
MODENA;GUIGLIA;;3;1;48;4;1;;;0;57
MODENA;LAMA MOCOGNO;;5;3;22;4;0;1;;1;36
MODENA;MARANELLO;1;19;4;135;22;0;;;2;183
MODENA;MARANO SUL PANARO;;5;3;60;2;0;;;1;71
MODENA;MEDOLLA;2;5;1;45;4;1;;;0;58
MODENA;MIRANDOLA;;91;9;211;24;1;;;7;343
MODENA;MODENA;50;169;55;2.265;180;5;;3;8;2.735
MODENA;MONTECRETO;;;;5;0;0;;;0;5
MODENA;MONTEFIORINO;;1;1;11;5;0;;;0;18
MODENA;MONTESE;1;8;;13;2;0;;1;0;25
MODENA;NONANTOLA;;22;3;142;14;1;;;1;183
MODENA;NOVI DI MODENA;;8;;77;12;0;;;0;97
MODENA;PALAGANO;;5;;15;2;1;;1;1;25
MODENA;PAVULLO NEL FRIGNANO;;10;5;100;18;0;;;2;135
MODENA;PIEVEPELAGO;;4;;15;3;0;;;0;22
MODENA;POLINAGO;1;1;;8;1;0;;;0;11
MODENA;PRIGNANO SULLA SECCHIA;;5;;32;1;0;;1;1;40
MODENA;RAVARINO;;5;;47;3;0;;;0;55
MODENA;RIOLUNATO;;2;;5;1;0;;;0;8
MODENA;SAN CESARIO SUL PANARO;;6;4;65;8;0;;;0;83
MODENA;SAN FELICE SUL PANARO;;3;3;96;7;0;;;0;109
MODENA;SAN POSSIDONIO;;1;;26;5;0;;;0;32
MODENA;SAN PROSPERO;;7;3;52;6;0;;;0;68
MODENA;SASSUOLO;;69;4;675;42;0;;3;5;798
MODENA;SAVIGNANO SUL PANARO;;11;3;67;10;0;;;0;91
MODENA;SERRAMAZZONI;;7;1;65;12;0;;;0;85
MODENA;SESTOLA;;2;;17;1;0;;;0;20
MODENA;SOLIERA;;5;4;136;12;0;;;0;157
MODENA;SPILAMBERTO;;14;6;103;5;0;;1;1;130
MODENA;VIGNOLA;1;21;9;223;33;0;;6;1;294
MODENA;ZOCCA;;5;;36;5;0;;;0;46
PARMA;ALBARETO;;1;;12;3;0;;;0;16
PARMA;BARDI;;3;1;16;0;0;;;0;20
PARMA;BEDONIA;;4;;16;4;1;;;1;26
PARMA;BERCETO;;7;;16;3;0;;;0;26
PARMA;BORE;;;1;3;0;0;;;0;4
PARMA;BORGO VAL DI TARO;;5;1;41;6;0;;;0;53
PARMA;BUSSETO;;20;;54;4;0;;;0;78
PARMA;CALESTANO;;;;9;1;0;;;1;11
PARMA;COLLECCHIO;;26;8;155;32;1;;;1;223
PARMA;COLORNO;;5;;74;15;0;;;0;94
PARMA;COMPIANO;;;;4;3;0;;;0;7
PARMA;CORNIGLIO;;1;;8;2;0;;;0;11
PARMA;FELINO;;5;1;79;12;0;;;0;97
PARMA;FIDENZA;;28;6;210;29;1;;36;6;316
PARMA;FONTANELLATO;;2;;54;11;0;;;2;69
PARMA;FONTEVIVO;;4;3;52;10;0;;3;3;75
PARMA;FORNOVO DI TARO;;12;;42;4;0;;;0;58
PARMA;LANGHIRANO;;26;9;89;21;1;;;0;146
PARMA;LESIGNANO DE BAGNI;1;9;2;46;9;0;;;0;67
PARMA;MEDESANO;;20;1;95;21;0;;1;2;140
PARMA;MONCHIO DELLE CORTI;;;;5;0;0;;;0;5
PARMA;MONTECHIARUGOLO;;8;;95;17;0;;;0;120
PARMA;NEVIANO DEGLI ARDUINI;;4;;20;4;0;;;0;28
PARMA;NOCETO;;12;4;96;22;0;;;0;134
PARMA;PALANZANO;;1;;4;3;0;;;0;8
PARMA;PARMA;24;181;29;2.055;362;4;;3;38;2.696
PARMA;PELLEGRINO PARMENSE;;;;1;1;0;;;0;2
PARMA;POLESINE ZIBELLO;;;1;30;3;0;;;0;34
PARMA;ROCCABIANCA;;;;17;1;0;;;0;18
PARMA;SALA BAGANZA;;12;;47;5;1;;;0;65
PARMA;SALSOMAGGIORE TERME;;13;4;168;44;1;;1;0;231
PARMA;SAN SECONDO PARMENSE;;2;1;47;6;0;;4;1;61
PARMA;SISSA TRECASALI;;13;4;62;9;0;;;1;89
PARMA;SOLIGNANO;;4;;11;3;0;;;0;18
PARMA;SORAGNA;;6;2;37;8;0;;;0;53
PARMA;SORBOLO MEZZANI;;17;;99;19;1;;1;2;139
PARMA;TERENZO;;1;;6;4;0;;;0;11
PARMA;TIZZANO VAL PARMA;;3;1;16;5;0;;;0;25
PARMA;TORNOLO;;2;;5;1;0;;;0;8
PARMA;TORRILE;;8;;80;9;0;;;0;97
PARMA;TRAVERSETOLO;;19;2;72;18;0;;1;1;113
PARMA;VALMOZZOLA;;1;;1;1;0;;;0;3
PARMA;VARANO DE' MELEGARI;;8;;27;11;1;;;0;47
PARMA;VARSI;;1;;5;0;0;;;1;7
PIACENZA;AGAZZANO;;4;;7;0;0;;;0;11
PIACENZA;ALSENO;;4;;31;4;0;;;0;39
PIACENZA;ALTA VAL TIDONE;;3;1;20;2;0;;;2;28
PIACENZA;BESENZONE;;2;;8;1;0;;;0;11
PIACENZA;BETTOLA;;2;;20;3;0;;;1;26
PIACENZA;BOBBIO;;4;1;24;4;0;;;2;35
PIACENZA;BORGONOVO VAL TIDONE;;5;;50;4;0;;;1;60
PIACENZA;CADEO;;3;;44;3;0;;2;1;53
PIACENZA;CALENDASCO;;1;;29;5;0;;;12;47
PIACENZA;CAORSO;;6;;29;3;0;;6;3;47
PIACENZA;CARPANETO PIACENTINO;;7;;58;5;0;;;0;70
PIACENZA;CASTEL SAN GIOVANNI;;9;1;100;10;0;;;9;129
PIACENZA;CASTELL'ARQUATO;;3;;31;6;0;;;0;40
PIACENZA;CASTELVETRO PIACENTINO;;6;3;46;3;0;;;0;58
PIACENZA;CERIGNALE;;;;1;0;0;;;0;1
PIACENZA;COLI;14;;;1;1;0;;;0;16
PIACENZA;CORTE BRUGNATELLA;;1;;5;0;0;;;0;6
PIACENZA;CORTEMAGGIORE;;2;2;26;6;0;;;7;43
PIACENZA;FARINI;;1;1;7;3;0;;;0;12
PIACENZA;FERRIERE;;1;;4;0;0;;;0;5
PIACENZA;FIORENZUOLA D'ARDA;;19;1;78;12;0;;4;11;125
PIACENZA;GAZZOLA;;2;1;15;7;0;;;0;25
PIACENZA;GOSSOLENGO;;9;;46;16;0;;;0;71
PIACENZA;GRAGNANO TREBBIENSE;;3;;28;7;0;;;0;38
PIACENZA;GROPPARELLO;;6;1;14;2;1;;;0;24
PIACENZA;LUGAGNANO VAL D'ARDA;;1;1;16;2;0;;;0;20
PIACENZA;MONTICELLI D'ONGINA;;8;;32;2;0;;;3;45
PIACENZA;MORFASSO;;;;1;0;0;;;0;1
PIACENZA;OTTONE;;1;;5;0;0;;;0;6
PIACENZA;PIACENZA;;129;13;1.120;158;1;1;15;18;1.455
PIACENZA;PIANELLO VAL TIDONE;;4;;14;1;0;;2;2;23
PIACENZA;PIOZZANO;;1;;4;0;0;;;0;5
PIACENZA;PODENZANO;;5;4;93;17;0;;;1;120
PIACENZA;PONTE DELL'OLIO;;5;1;33;4;0;;;1;44
PIACENZA;PONTENURE;;4;4;54;5;0;;;1;68
PIACENZA;RIVERGARO;;13;5;58;13;0;;1;3;93
PIACENZA;ROTTOFRENO;;13;1;97;17;0;;;6;134
PIACENZA;SAN GIORGIO PIACENTINO;;3;;47;7;0;;;0;57
PIACENZA;SAN PIETRO IN CERRO;;2;;2;0;0;;;0;4
PIACENZA;SARMATO;;2;1;20;7;0;;;0;30
PIACENZA;TRAVO;;5;1;14;3;0;;;0;23
PIACENZA;VERNASCA;;2;;16;1;0;;;0;19
PIACENZA;VIGOLZONE;;2;;23;5;0;;;0;30
PIACENZA;VILLANOVA SULL'ARDA;;6;;13;1;0;;;0;20
PIACENZA;ZIANO PIACENTINO;;2;2;17;1;0;;;0;22
RAVENNA;ALFONSINE;;12;;57;12;0;;1;1;83
RAVENNA;BAGNACAVALLO;;15;2;104;14;0;;;0;135
RAVENNA;BAGNARA DI ROMAGNA;;5;;15;4;0;;;0;24
RAVENNA;BRISIGHELLA;;7;1;52;12;0;;;0;72
RAVENNA;CASOLA VALSENIO;;1;;14;1;0;;;0;16
RAVENNA;CASTEL BOLOGNESE;;5;;76;6;0;;2;1;90
RAVENNA;CERVIA;;24;9;258;48;1;;;0;340
RAVENNA;CONSELICE;;4;1;73;5;0;;;2;85
RAVENNA;COTIGNOLA;;3;;75;8;0;;;0;86
RAVENNA;FAENZA;;51;13;774;79;0;;;9;926
RAVENNA;FUSIGNANO;;3;;64;6;0;;;0;73
RAVENNA;LUGO;1;28;2;255;38;0;;1;5;330
RAVENNA;MASSA LOMBARDA;;3;2;69;9;0;;;0;83
RAVENNA;RAVENNA;;178;47;1.665;289;1;;3;20;2.203
RAVENNA;RIOLO TERME;;7;2;36;14;1;;1;2;63
RAVENNA;RUSSI;;10;2;103;12;0;;;0;127
RAVENNA;SANT'AGATA SUL SANTERNO;;6;;26;7;0;;;0;39
RAVENNA;SOLAROLO;;4;;36;4;0;;;0;44
REGGIO EMILIA;ALBINEA;;10;5;105;23;0;;1;0;144
REGGIO EMILIA;BAGNOLO IN PIANO;;6;1;78;14;0;;;0;99
REGGIO EMILIA;BAISO;;1;1;26;5;0;;1;1;35
REGGIO EMILIA;BIBBIANO;1;14;70;85;7;0;;1;2;180
REGGIO EMILIA;BORETTO;;2;;37;3;0;;;1;43
REGGIO EMILIA;BRESCELLO;;44;2;344;5;0;;2;1;398
REGGIO EMILIA;CADELBOSCO DI SOPRA;;6;1;88;13;0;;;0;108
REGGIO EMILIA;CAMPAGNOLA EMILIA;;5;3;49;8;0;;;1;66
REGGIO EMILIA;CAMPEGINE;;6;;38;3;0;;;1;48
REGGIO EMILIA;CANOSSA;;6;2;19;7;0;;;0;34
REGGIO EMILIA;CARPINETI;;6;;31;8;0;;;0;45
REGGIO EMILIA;CASALGRANDE;;16;3;169;20;0;;;3;211
REGGIO EMILIA;CASINA;;4;2;24;0;0;;1;0;31
REGGIO EMILIA;CASTELLARANO;;18;2;141;21;0;;;0;182
REGGIO EMILIA;CASTELNOVO DI SOTTO;;8;1;64;8;0;;;0;81
REGGIO EMILIA;CASTELNOVO NE' MONTI;;13;4;110;16;0;;;0;143
REGGIO EMILIA;CAVRIAGO;;11;1;63;11;1;;;0;87
REGGIO EMILIA;CORREGGIO;;22;2;247;22;3;;1;1;298
REGGIO EMILIA;FABBRICO;;2;;51;7;0;;;0;60
REGGIO EMILIA;GATTATICO;;27;2;49;7;0;;;0;85
REGGIO EMILIA;GUALTIERI;;;2;33;3;0;;;2;40
REGGIO EMILIA;GUASTALLA;;11;1;120;7;0;;;0;139
REGGIO EMILIA;LUZZARA;;7;1;66;6;1;;;1;82
REGGIO EMILIA;MONTECCHIO EMILIA;;9;4;92;15;0;;;1;121
REGGIO EMILIA;NOVELLARA;;12;2;88;10;0;;;0;112
REGGIO EMILIA;POVIGLIO;;8;2;55;5;0;;;0;70
REGGIO EMILIA;QUATTRO CASTELLA;;5;1;124;31;0;;;2;163
REGGIO EMILIA;REGGIO NELL'EMILIA;10;673;332;2.598;213;11;;111;261;4.209
REGGIO EMILIA;REGGIOLO;;2;;77;13;0;;;0;92
REGGIO EMILIA;RIO SALICETO;;7;1;49;8;0;;;1;66
REGGIO EMILIA;ROLO;;;1;30;1;0;;;0;32
REGGIO EMILIA;RUBIERA;;8;3;134;16;0;;;0;161
REGGIO EMILIA;SAN MARTINO IN RIO;;7;1;77;4;0;;;0;89
REGGIO EMILIA;SAN POLO D'ENZA;;3;1;42;7;0;;;0;53
REGGIO EMILIA;SANT'ILARIO D'ENZA;;5;;88;8;0;;;0;101
REGGIO EMILIA;SCANDIANO;;26;7;224;34;1;;;1;293
REGGIO EMILIA;TOANO;;5;1;34;3;0;;;1;44
REGGIO EMILIA;VENTASSO;;5;;21;3;0;;;0;29
REGGIO EMILIA;VETTO;;;;8;1;0;;1;0;10
REGGIO EMILIA;VEZZANO SUL CROSTOLO;;2;;54;2;1;;;0;59
REGGIO EMILIA;VIANO;;4;1;22;6;0;;;0;33
REGGIO EMILIA;VILLA MINOZZO;;9;;25;3;0;;;0;37
RIMINI;BELLARIA IGEA MARINA;;24;5;148;35;0;;;0;212
RIMINI;CASTELDELCI;;1;;1;1;0;;;0;3
RIMINI;CATTOLICA;;18;3;113;63;0;;2;2;201
RIMINI;CORIANO;;12;4;91;35;2;1;;0;145
RIMINI;GEMMANO;;1;;6;5;0;;;0;12
RIMINI;MAIOLO;1;;1;1;0;0;;;0;3
RIMINI;MISANO ADRIATICO;;10;3;104;44;1;;;1;163
RIMINI;MONDAINO;;;;13;5;0;;;0;18
RIMINI;MONTECOPIOLO;;;;8;2;0;;;0;10
RIMINI;MONTEFIORE CONCA;;1;;11;9;0;;;0;21
RIMINI;MONTEGRIDOLFO;;;;7;2;0;;;0;9
RIMINI;MONTESCUDO-MONTE COLOMBO;;6;;43;13;0;;;1;63
RIMINI;MORCIANO DI ROMAGNA;1;2;1;44;12;0;;;0;60
RIMINI;NOVAFELTRIA;2;5;14;44;18;0;;;0;83
RIMINI;PENNABILLI;2;1;;22;1;0;;;0;26
RIMINI;POGGIO TORRIANA;;6;;40;8;0;;;0;54
RIMINI;RICCIONE;;13;7;233;110;1;;;0;364
RIMINI;RIMINI;2;123;67;1.231;495;4;;1;7;1.930
RIMINI;SALUDECIO;;;;30;8;0;;;0;38
RIMINI;SAN CLEMENTE;;9;;43;15;0;;;0;67
RIMINI;SAN GIOVANNI IN MARIGNANO;;10;;73;35;1;;;2;121
RIMINI;SAN LEO;;3;1;19;3;0;;;0;26
RIMINI;SANT'AGATA FELTRIA;;1;;15;1;0;;;0;17
RIMINI;SANTARCANGELO DI ROMAGNA;;31;1;168;46;0;;;5;251
RIMINI;SASSOFELTRIO;;2;;3;0;0;;;0;5
RIMINI;TALAMELLO;;1;;13;1;0;;;0;15
RIMINI;VERUCCHIO;;10;1;68;22;1;;1;0;103
Totale complessivo;;222;5.156;1.396;43.041;6.915;103;11;376;833;58.053
