Anno bilancio;Area DEFR;Missioni;Programmi;Previsione 2024; di cui FPV 2024;Previsione 2025;di cui FPV 2025;Previsione 2026;di cui FPV 2026;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Organi istituzionali;46.866.690 €;1.280.000 €;46.214.651 €;1.280.000 €;45.884.376 €;1.280.000 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Segreteria generale;1.736.000 €;0 €;1.736.000 €;0 €;1.736.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Gestione economica, finanziaria,  programmazione, provveditorato;326.210.973 €;0 €;326.316.973 €;0 €;326.331.701 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Gestione delle entrate tributarie e servizi fiscali;12.937.000 €;0 €;12.437.000 €;0 €;12.437.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Gestione dei beni demaniali e patrimoniali;35.865.423 €;0 €;37.648.523 €;0 €;39.186.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Ufficio tecnico;0 €;0 €;0 €;0 €;0 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Elezioni e consultazioni popolari - Anagrafe e stato civile;0 €;0 €;0 €;0 €;0 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Statistica e sistemi informativi;35.745.725 €;0 €;32.673.318 €;0 €;34.276.198 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Assistenza tecnico-amministrativa agli enti locali;1.518.996 €;0 €;552.500 €;0 €;552.500 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Risorse umane;85.020.531 €;22.300.000 €;81.013.726 €;22.300.000 €;82.359.725 €;22.300.000 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Altri servizi generali;8.854.422 €;0 €;7.745.700 €;0 €;6.869.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Relazioni con le altre autonomie territoriali e locali;Relazioni finanziarie con le altre autonomie territoriali;61.192.843 €;0 €;40.192.842 €;0 €;25.310.115 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Relazioni internazionali;Relazioni internazionali e Cooperazione allo sviluppo;5.629.505 €;0 €;5.232.648 €;0 €;5.007.400 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Relazioni internazionali;Cooperazione territoriale;27.845.574 €;0 €;28.270.250 €;0 €;24.000.386 €;0 €;
2024;Area economica;Turismo;Sviluppo e la valorizzazione del turismo;61.729.725 €;0 €;47.433.801 €;0 €;38.094.455 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Industria,  PMI e Artigianato;27.189.531 €;0 €;29.801.000 €;0 €;18.902.140 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Commercio - reti distributive - tutela dei consumatori;19.229.294 €;0 €;23.128.226 €;0 €;16.391.000 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Ricerca e innovazione;173.493.762 €;0 €;162.176.940 €;0 €;65.242.711 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Reti e altri servizi di pubblica utilità;22.599.300 €;0 €;20.892.968 €;0 €;16.808.967 €;0 €;
2024;Area economica;Politiche per il lavoro e la formazione professionale;Servizi per lo sviluppo del mercato del lavoro;53.336.849 €;0 €;54.314.373 €;0 €;1.465.000 €;0 €;
2024;Area economica;Politiche per il lavoro e la formazione professionale;Formazione professionale;23.257.375 €;0 €;15.535.716 €;0 €;2.426.000 €;0 €;
2024;Area economica;Politiche per il lavoro e la formazione professionale;Sostegno all'occupazione;273.828.310 €;0 €;276.018.432 €;0 €;162.785.353 €;0 €;
2024;Area economica;Agricoltura, politiche agroalimentari e pesca;Sviluppo del settore agricolo e del sistema agroalimentare;81.318.498 €;1.025.571 €;91.882.914 €;0 €;96.265.426 €;0 €;
2024;Area economica;Agricoltura, politiche agroalimentari e pesca;Caccia e pesca;13.869.776 €;0 €;16.483.622 €;0 €;14.748.720 €;0 €;
2024;Area economica;Energia e diversificazione delle fonti energetiche;Fonti energetiche;125.023.748 €;0 €;98.356.314 €;0 €;30.092.187 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per l'infanzia e  i minori e per asili nido;31.346.649 €;0 €;13.910.000 €;0 €;13.910.000 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per la disabilità;49.945.082 €;1.396.350 €;37.468.350 €;0 €;36.072.000 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per gli anziani;74.878.599 €;0 €;4.781.500 €;0 €;4.181.500 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per i soggetti a rischio di esclusione sociale;14.216.873 €;740.000 €;9.633.000 €;0 €;7.512.480 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi  per le famiglie;609.500 €;0 €;568.000 €;0 €;568.000 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per il diritto alla casa;2.139.000 €;0 €;2.139.000 €;0 €;2.139.000 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Programmazione e governo della rete dei servizi sociosanitari e sociali;27.443.000 €;0 €;13.310.500 €;0 €;12.310.500 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Cooperazione e associazionismo;5.683.765 €;0 €;2.950.227 €;0 €;2.950.227 €;0 €;
2024;Area sanità e sociale;Tutela della salute;Servizio sanitario regionale - finanziamento ordinario corrente per la garanzia dei LEA;9.286.526.033 €;0 €;9.284.390.893 €;0 €;9.284.390.893 €;0 €;
2024;Area sanità e sociale;Tutela della salute;Servizio sanitario regionale - finanziamento aggiuntivo corrente per livelli di assistenza superiori ai LEA;88.822.702 €;0 €;88.740.000 €;0 €;88.740.000 €;0 €;
2024;Area sanità e sociale;Tutela della salute;Servizio sanitario regionale - finanziamento aggiuntivo corrente per la copertura dello squilibrio di bilancio corrente;0 €;0 €;0 €;0 €;0 €;0 €;
2024;Area sanità e sociale;Tutela della salute;Servizio sanitario regionale - ripiano di disavanzi sanitari relativi ad esercizi pregressi;90.366.622 €;0 €;89.392.828 €;0 €;89.081.521 €;0 €;
2024;Area sanità e sociale;Tutela della salute;Servizio sanitario regionale - investimenti sanitari;50.445.663 €;0 €;31.729.138 €;0 €;24.724.345 €;0 €;
2024;Area sanità e sociale;Tutela della salute;Servizio sanitario regionale - restituzione maggiori gettiti SSN;0 €;0 €;0 €;0 €;0 €;0 €;
2024;Area sanità e sociale;Tutela della salute;Ulteriori spese in materia sanitaria;85.794.887 €;0 €;96.711.158 €;0 €;90.501.274 €;0 €;
2024;Area culturale;Istruzione e diritto allo studio;Istruzione prescolastica;4.800.000 €;0 €;2.720.000 €;0 €;2.720.000 €;0 €;
2024;Area culturale;Istruzione e diritto allo studio;Altri ordini di istruzione non universitaria;0 €;0 €;0 €;0 €;0 €;0 €;
2024;Area culturale;Istruzione e diritto allo studio;Edilizia scolastica;156.000 €;0 €;0 €;0 €;0 €;0 €;
2024;Area culturale;Istruzione e diritto allo studio;Istruzione universitaria;51.700.000 €;0 €;52.700.000 €;0 €;52.050.000 €;0 €;
2024;Area culturale;Istruzione e diritto allo studio;Istruzione tecnica superiore;139.000 €;0 €;133.000 €;0 €;134.000 €;0 €;
2024;Area culturale;Istruzione e diritto allo studio;Diritto allo studio;6.423.000 €;0 €;8.621.000 €;0 €;8.621.000 €;0 €;
2024;Area culturale;Tutela e valorizzazione dei beni e delle attività culturali;Valorizzazione dei beni di interesse storico;4.045.792 €;0 €;3.500.000 €;0 €;23.083.450 €;0 €;
2024;Area culturale;Tutela e valorizzazione dei beni e delle attività culturali;Attività culturali e interventi diversi nel settore culturale;60.146.444 €;0 €;45.178.297 €;0 €;37.700.080 €;0 €;
2024;Area culturale;Politiche giovanili, sport e tempo libero;Sport e tempo libero;18.518.479 €;0 €;7.107.103 €;0 €;5.912.153 €;0 €;
2024;Area culturale;Politiche giovanili, sport e tempo libero;Giovani;2.661.500 €;0 €;2.461.500 €;0 €;2.461.500 €;0 €;
2024;Area territoriale;Ordine pubblico e sicurezza;Polizia locale e amministrativa;2.198.500 €;0 €;3.598.500 €;0 €;4.328.500 €;0 €;
2024;Area territoriale;Ordine pubblico e sicurezza;Sistema integrato di sicurezza urbana;4.317.500 €;0 €;4.315.000 €;0 €;4.315.000 €;0 €;
2024;Area territoriale;Assetto del territorio ed edilizia abitativa;Urbanistica e assetto del territorio;26.613.179 €;113.950 €;16.759.250 €;0 €;7.075.800 €;0 €;
2024;Area territoriale;Assetto del territorio ed edilizia abitativa;Edilizia residenziale pubblica e locale e piani di ediliziaeconomico-popolare;29.959.145 €;243.274 €;33.708.061 €;0 €;23.342.717 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Difesa del suolo;78.907.371 €;0 €;60.451.712 €;0 €;44.167.959 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Tutela, valorizzazione e recupero ambientale;5.522.496 €;56.250 €;3.857.500 €;0 €;3.486.250 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Rifiuti;796.500 €;0 €;796.500 €;0 €;796.500 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Servizio idrico integrato;43.000 €;0 €;43.000 €;0 €;43.000 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Aree protette, parchi naturali, protezione naturalistica e forestazione;10.971.700 €;0 €;11.059.291 €;0 €;9.427.500 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Tutela e valorizzazione delle risorse idriche;1.318.558 €;0 €;1.214.298 €;0 €;866.000 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Sviluppo sostenibile territorio montano piccoli Comuni;5.365.595 €;0 €;5.365.595 €;0 €;5.194.000 €;0 €;
2024;Area territoriale;Sviluppo sostenibile e tutela del territorio e dell'ambiente;Qualità dell'aria e riduzione dell'inquinamento;40.038.061 €;117.091 €;21.857.323 €;0 €;17.858.225 €;0 €;
2024;Area territoriale;Trasporti e diritto alla mobilità;Trasporto ferroviario;238.688.601 €;0 €;231.951.696 €;0 €;200.855.534 €;0 €;
2024;Area territoriale;Trasporti e diritto alla mobilità;Trasporto pubblico locale;325.443.038 €;0 €;306.559.917 €;0 €;299.746.773 €;0 €;
2024;Area territoriale;Trasporti e diritto alla mobilità;Trasporto per vie d'acqua;40.587.994 €;7.997.815 €;25.254.315 €;1.000.000 €;25.911.500 €;0 €;
2024;Area territoriale;Trasporti e diritto alla mobilità;Altre modalità di trasporto;12.482.178 €;0 €;5.846.257 €;0 €;1.863.458 €;0 €;
2024;Area territoriale;Trasporti e diritto alla mobilità;Viabilità e infrastrutture stradali;73.801.754 €;36.129.031 €;52.275.031 €;17.970.000 €;107.236.000 €;0 €;
2024;Area territoriale;Soccorso civile;Sistema di protezione civile;30.625.809 €;1.210.544 €;26.627.044 €;43.081 €;25.459.581 €;0 €;
2024;Area territoriale;Soccorso civile;Interventi a seguito di calamità naturali;2.234.000 €;0 €;2.234.000 €;0 €;2.234.000 €;0 €;
2024;Oneri generali;Fondi e accantonamenti;Fondo di riserva;9.960.000 €;0 €;4.950.000 €;0 €;4.800.000 €;0 €;
2024;Oneri generali;Fondi e accantonamenti;Fondo crediti di dubbia esigibilità;52.265.230 €;0 €;52.263.900 €;0 €;52.263.900 €;0 €;
2024;Oneri generali;Fondi e accantonamenti;Altri fondi;819.423.159 €;0 €;800.359.255 €;0 €;834.149.565 €;0 €;
2024;Oneri generali;Debito pubblico;Quota interessi ammortamento mutui e prestiti obbligazionari;8.673.086 €;0 €;32.136.956 €;0 €;37.119.051 €;0 €;
2024;Oneri generali;Debito pubblico;Quota capitale ammortamento mutui e prestiti obbligazionari;3.436.730 €;0 €;12.734.341 €;0 €;15.644.223 €;0 €;
2024;Oneri generali;Anticipazioni finanziarie;Restituzione anticipazioni di tesoreria;1.000.000 €;0 €;0 €;0 €;0 €;0 €;
