"N.Sezione";"Desc. Sezione";"BORGONZONI PRESIDENTE";"LEGA SALVINI";"FRATELLI D'ITALIA CON GIORGIA MELONI";"POPOLO DELLA FAMIGLIA";"FORZA ITALIA";"MOVIMENTO CINQUE STELLE";"PARTITO COMUNISTA";"BONACCINI PRESIDENTE";"EUROPA VERDE";"PARTITO DEMOCRATICO";"+ EUROPA PSI PRI";"EMILIA ROMAGNA CORAGGIOSA ECOLOGISTA E PROGRESSISTA";"VOLT EMILIA - ROMAGNA";"L'ALTRA EMILIA ROMAGNA";"Tot. validi";"Schede bianche";"Schede nulle";"Voti nulli";"Voti contestati non assegnati";"Voti Capolista";"Voti totali"
1;"PIAZZETTA CARD. S.PIGNEDOLI,2";4;112;48;2;34;13;2;33;17;165;13;51;1;4;499;3;4;0;0;45;551
2;"PIAZZETTA CARD. S.PIGNEDOLI,2";10;137;50;2;14;19;9;36;13;143;18;28;4;1;484;0;5;0;0;48;537
3;"VIA FILIPPO RE,6";8;127;49;1;38;17;6;43;11;96;14;44;1;0;455;1;10;0;0;41;507
4;"VIA FILIPPO RE,6";9;95;48;1;18;15;4;24;3;120;15;51;4;0;407;5;3;0;0;35;450
5;"VIALE MONTE S. MICHELE,12";5;110;29;0;16;33;4;27;13;134;3;23;1;2;400;2;7;0;0;32;441
6;"VIALE MONTE S. MICHELE,12";8;107;46;0;32;26;5;18;11;104;12;27;1;6;403;3;4;0;0;21;431
7;"VIALE MONTE GRAPPA,8";8;104;46;8;26;10;6;31;15;133;17;26;0;0;430;3;7;0;0;23;463
8;"VIALE MONTE GRAPPA,8";13;104;41;6;34;19;4;31;12;136;18;49;3;3;473;3;3;0;0;44;523
9;"VIA E. FERRI,14";10;127;35;4;13;34;4;24;6;177;12;30;0;6;482;4;13;0;0;34;533
10;"VIALE MONTE S. MICHELE,12";9;163;55;4;37;11;7;35;16;145;11;30;0;0;523;1;5;0;0;32;561
11;"VIA N. LASAGNI,5/A";7;123;30;1;7;35;1;23;6;211;7;12;0;1;464;4;4;0;0;41;513
12;"VIA R. FRANCHETTI,8";6;98;49;2;29;16;5;37;18;109;11;41;4;3;428;2;1;0;0;41;472
13;"VIA R. FRANCHETTI,8";3;102;34;4;18;10;0;21;13;103;9;21;0;3;341;1;3;0;0;31;376
14;"VIA J. F. KENNEDY,20";1;121;33;1;6;21;1;22;8;152;10;10;0;0;386;1;8;0;0;43;438
15;"VIA J. F. KENNEDY,20";9;122;20;1;12;15;3;24;2;161;6;5;0;0;380;2;4;0;0;27;413
16;"VIA J. F. KENNEDY,20";5;97;17;1;7;35;3;19;5;162;3;6;3;0;363;1;3;0;0;33;400
17;"VIA J. F. KENNEDY,20";6;132;21;0;6;34;13;28;7;182;2;15;2;1;449;2;8;0;0;45;504
18;"VIA F. CONFALONIERI,1";3;154;31;2;9;26;10;26;6;131;1;15;0;1;415;2;8;0;0;31;456
19;"VIA F. CONFALONIERI,1";14;146;42;1;14;36;4;22;8;221;5;14;0;2;529;1;10;0;0;35;575
20;"VIA F. CONFALONIERI,1";6;144;36;4;9;39;1;45;10;209;6;16;1;2;528;2;10;0;0;39;579
21;"VIA CELLA ALL'OLDO,8";4;118;28;2;10;16;3;24;3;203;4;19;0;0;434;2;13;0;0;27;476
22;"VIA CELLA ALL'OLDO,8";13;194;25;0;21;38;12;42;8;234;5;19;1;1;613;3;10;0;0;40;666
23;"VIA CELLA ALL'OLDO,8";7;118;39;1;6;20;2;21;7;190;10;16;0;3;440;0;3;0;0;21;464
24;"VIA G. BRUNO,29";10;177;24;4;9;34;2;27;10;160;16;12;1;0;486;4;12;0;0;35;537
25;"VIA GHIARDA,28";7;132;19;2;11;25;3;30;17;155;12;28;0;1;442;3;14;0;0;41;500
26;"VIA G. PUCCINI,4";2;77;25;0;16;14;2;27;5;124;5;16;0;0;313;3;4;0;0;26;346
27;"VIA G. PUCCINI,4";11;149;27;2;10;27;4;30;11;195;12;14;1;0;493;2;6;0;0;36;537
28;"VIA G. PUCCINI,4";6;117;39;0;9;40;4;38;12;206;9;35;0;6;521;4;11;0;0;41;577
29;"VIA G. PUCCINI,4";11;139;36;5;6;18;3;40;21;187;8;32;0;4;510;1;8;0;0;38;557
30;"VIA PREMUDA,36";6;97;21;0;8;34;4;36;8;228;3;24;0;1;470;2;7;0;0;20;499
31;"VIA PREMUDA,36";6;106;28;1;11;24;7;33;12;199;10;26;3;4;470;6;9;0;0;34;519
32;"VIA PREMUDA,36";6;91;26;1;13;26;2;34;14;259;8;34;1;0;515;4;14;0;0;39;572
33;"VIA PREMUDA,34";7;161;28;1;8;30;4;47;18;251;7;43;1;2;608;0;11;0;0;40;659
34;"VIA PREMUDA,34";17;112;25;1;5;14;1;33;12;187;11;21;1;4;444;2;3;0;0;36;485
35;"VIA PREMUDA,34";10;100;27;2;13;17;4;20;18;179;3;28;2;0;423;2;8;0;0;39;472
36;"VIA PREMUDA,34";9;162;45;5;13;27;7;46;11;216;7;33;1;0;582;3;8;0;0;46;639
37;"VIA F. P. TOSTI,4";8;114;20;1;12;16;3;39;11;190;8;23;0;1;446;2;8;0;0;37;493
38;"VIA F. P. TOSTI,4";5;84;21;3;15;12;5;15;10;110;5;22;0;0;307;3;1;0;0;22;333
39;"VIA D. FREDDI,41";16;173;52;5;14;38;4;53;15;206;5;42;8;1;632;2;12;0;0;39;685
40;"VIA D. FREDDI,41";9;152;36;0;5;47;5;65;30;238;8;30;1;1;627;2;10;0;0;39;678
41;"VIA D. F. CECATI,12";9;112;34;4;28;15;7;39;22;167;19;28;2;4;490;2;3;0;0;42;537
42;"VIA D. F. CECATI,12";6;145;61;15;24;25;1;36;23;176;13;52;5;0;582;1;6;0;0;60;649
43;"VIA D. F. CECATI,12";4;96;26;1;13;14;0;30;10;130;6;26;2;5;363;4;1;0;0;40;408
44;"VIA D. F. CECATI,12";7;128;37;4;16;32;5;40;23;182;9;31;1;2;517;0;10;0;0;44;571
45;"VIA BARTOLO DA SASSOFERRATO,24";7;119;35;1;7;20;6;40;12;220;13;18;0;0;498;5;7;0;0;44;554
46;"VIA BARTOLO DA SASSOFERRATO,24";6;124;29;4;6;30;1;35;10;216;8;47;0;1;517;2;9;0;0;37;565
47;"VIA BISMANTOVA,23";9;125;23;1;9;31;8;31;13;217;11;43;2;4;527;1;13;0;0;48;589
48;"VIA BISMANTOVA,23";9;109;25;1;10;23;3;22;6;149;10;24;1;2;394;3;10;0;0;33;440
49;"VIA BISMANTOVA,23";1;99;25;0;10;35;3;35;2;202;8;27;1;2;450;1;5;0;0;43;499
50;"VIA BISMANTOVA,23";2;97;18;2;4;15;4;27;8;180;3;29;3;1;393;5;9;0;0;31;438
51;"VIA BISMANTOVA,23";7;87;13;2;7;19;6;23;11;149;3;37;1;4;369;1;8;0;0;34;412
52;"VIA DELLA CANALINA,21";10;80;18;3;5;18;4;34;18;167;10;24;1;2;394;2;2;0;0;33;431
53;"VIA M. K. GANDHI,16/C";7;97;20;0;4;22;6;20;10;209;12;35;5;0;447;2;12;0;0;35;496
54;"VIA M. K. GANDHI,16/C";7;93;38;1;8;25;4;51;15;198;10;25;2;4;481;4;8;0;0;51;544
55;"VIA M. K. GANDHI,16/C";4;122;40;1;12;9;2;34;15;239;10;31;1;1;521;4;4;0;0;48;577
56;"VIA DELLA CANALINA,21";4;68;32;0;15;40;6;48;18;320;12;54;3;3;623;0;4;0;0;47;674
57;"VIA DELLA CANALINA,21";6;120;32;1;9;11;1;32;15;196;4;33;3;0;463;1;3;0;0;37;504
58;"VIA DELLA CANALINA,21";6;160;36;1;11;37;6;21;11;256;9;20;3;1;578;0;3;0;1;41;623
59;"VIA F.LLI ROSSELLI,41/1";11;155;44;3;15;31;3;48;23;253;6;33;4;1;630;6;17;0;0;48;701
60;"VIA B. PASCAL,81";4;106;17;4;16;27;7;29;14;249;7;28;1;2;511;4;6;0;0;42;563
61;"VIA B. PASCAL,81";10;168;43;3;11;26;1;41;12;233;12;39;2;1;602;4;18;0;0;51;675
62;"VIA B. PASCAL,81";9;133;20;2;18;22;1;22;9;199;10;21;2;1;469;4;5;0;0;42;520
63;"VIA B. PASCAL,81";11;137;45;4;5;20;2;44;15;291;10;25;2;1;612;5;11;0;0;34;662
64;"VIA B. PASCAL,81";12;138;34;7;9;22;4;34;23;250;7;36;0;1;577;3;16;0;0;35;631
65;"VIA GHIARDA,28";10;130;28;1;10;24;2;43;10;267;14;29;4;1;573;3;1;0;0;30;607
66;"VIA R. IOTTI,2";3;138;8;3;9;18;4;7;4;149;5;18;0;0;366;3;4;0;0;27;400
67;"VIALE UMBERTO I,44";15;98;37;3;13;22;2;36;19;165;9;30;1;2;452;0;12;0;0;30;494
68;"VIALE UMBERTO I,44";10;84;33;1;12;18;0;19;8;135;11;23;0;2;356;1;3;0;0;30;390
69;"VIA E. CIALDINI,3";3;134;35;1;27;18;2;27;7;150;7;26;2;0;439;5;13;0;0;29;486
70;"VIA E. CIALDINI,3";4;121;54;4;19;23;2;35;13;161;7;41;1;0;485;0;11;0;0;40;536
71;"VIA J. WIBICKJ,30";3;85;11;2;11;14;5;33;18;158;12;32;0;3;387;1;2;0;0;33;423
72;"VIA J. WIBICKJ,30";5;89;19;8;8;23;0;15;6;170;5;19;1;2;370;4;9;0;0;19;402
73;"VIA J. WIBICKJ,30";5;84;20;6;8;13;1;35;15;159;5;32;0;0;383;1;7;0;0;21;412
74;"VIA MEDAGLIE D'ORO RESIST.,2";2;70;29;1;9;26;9;21;14;151;4;11;0;2;349;1;7;0;0;32;389
75;"VIA MEDAGLIE D'ORO RESIST.,2";3;61;26;1;5;21;3;33;10;157;4;34;0;1;359;0;4;0;0;25;388
76;"VIA MEDAGLIE D'ORO RESIST.,2";8;69;23;2;9;20;5;24;18;161;4;30;0;4;377;1;5;0;0;23;406
77;"VIA MEDAGLIE D'ORO RESIST.,2";5;73;26;2;8;22;0;33;13;222;8;31;1;4;448;2;7;0;0;27;484
78;"VIA M.L. KING, 1/A";13;97;32;2;17;24;6;44;14;205;4;30;0;1;489;2;9;0;0;44;544
79;"VIA M.L. KING, 1/A";3;163;57;3;19;34;2;34;25;215;17;32;7;1;612;5;7;0;0;30;654
80;"VIA M.L. KING, 1/A";12;122;47;3;9;16;1;40;17;244;21;37;1;0;570;2;13;0;0;47;632
81;"VIA M.L. KING, 1/A";5;103;14;6;11;14;2;40;15;315;10;31;0;5;571;4;6;0;0;39;620
82;"VIA M.L. KING, 1/A";9;135;28;6;13;39;8;20;16;279;12;36;3;2;606;2;4;0;0;32;644
83;"VIA A. TASSONI,136";1;198;57;0;13;30;1;56;15;244;8;32;1;2;658;2;4;0;0;36;700
84;"VIA A. TASSONI,136";12;184;73;5;17;22;3;34;17;240;19;26;4;1;657;2;3;0;0;38;700
85;"VIA E. FERMI,38";10;180;60;1;5;29;4;41;15;218;15;21;0;2;601;3;10;0;0;40;654
86;"VIA E. FERMI,38";7;149;44;1;13;27;1;34;11;286;12;26;3;1;615;1;9;0;0;45;670
87;"VIA P. G. TERRACHINI,20";5;118;27;5;4;20;6;26;12;191;3;24;3;2;446;1;2;0;0;21;470
88;"VIA P. G. TERRACHINI,20";4;91;27;1;12;11;5;30;9;161;8;26;2;0;387;3;4;0;0;36;430
89;"VIA P. G. TERRACHINI,20";5;109;42;4;15;20;1;39;10;143;11;33;2;2;436;2;4;0;0;30;472
90;"VIA M.L. KING, 1/A";3;146;39;4;12;25;1;32;12;196;5;31;1;1;508;3;3;0;0;48;562
91;"VIA P. G. TERRACHINI,20";5;86;24;1;16;11;0;23;7;123;5;19;6;0;326;2;14;0;0;33;375
92;"VIA E. TORRICELLI,35";9;122;25;3;9;20;3;34;9;180;4;22;0;0;440;2;7;0;0;33;482
93;"VIA E. TORRICELLI,35";5;83;27;0;7;18;3;33;10;187;3;22;1;3;402;1;2;0;0;43;448
94;"VIA A. TASSONI,136";8;167;45;1;12;23;3;53;20;229;17;30;9;2;619;6;4;0;0;62;691
95;"VIA EMILIA ALL'OSPIZIO,78/80";9;157;54;8;18;37;3;34;8;172;6;26;1;1;534;3;11;0;0;33;581
96;"VIA J. F. KENNEDY,20/A";4;130;35;2;17;53;5;27;6;177;8;26;1;2;493;3;21;0;0;37;554
97;"VIA DON L.STURZO,9";10;127;38;1;6;31;4;35;7;176;1;12;2;1;451;1;5;0;0;25;482
98;"VIA DON L.STURZO,9";4;100;23;1;15;21;1;42;18;212;7;34;3;2;483;0;19;0;0;32;534
99;"VIA DON L.STURZO,9";5;98;31;1;12;40;2;33;10;188;7;24;1;2;454;3;3;0;0;38;498
100;"VIA GATTALUPA,1";11;191;47;8;11;28;6;50;23;274;7;50;3;3;712;5;5;0;0;64;786
101;"VIA GATTALUPA,1";6;159;37;7;9;28;8;32;12;270;14;44;1;4;631;3;14;0;0;52;700
102;"VIA L. PASTEUR,17";8;133;43;5;4;29;5;35;12;187;7;21;5;2;496;1;9;0;0;48;554
103;"VIA L. PASTEUR,17";15;128;24;3;5;29;3;44;17;251;9;35;0;4;567;2;17;0;0;50;636
104;"VIA L. E F. SOCINI,19/B";2;135;26;0;12;26;3;38;12;289;13;23;3;4;586;4;7;0;0;48;645
105;"VIA F. CONFALONIERI,1";5;148;29;5;12;36;9;39;19;239;7;21;0;4;573;4;14;0;0;55;646
106;"VIA V. MAZZELLI,2";7;139;29;8;11;9;0;29;9;231;7;15;2;0;496;3;5;0;0;33;537
107;"VIA V. MAZZELLI,2";6;162;50;3;10;24;4;36;10;205;5;21;1;2;539;2;11;0;0;56;608
108;"VIA DELLA TROMBA 36";6;182;42;1;12;35;9;37;13;191;7;11;1;1;548;7;12;0;0;32;599
109;"VIA N. LASAGNI,5/A";8;134;23;3;11;28;4;19;5;188;8;17;1;3;452;2;9;0;0;17;480
110;"VIA N. LASAGNI,5/A";9;131;30;5;7;42;6;20;8;196;1;10;4;3;472;1;11;0;0;32;516
111;"VIA MAKALLE',18";4;83;30;5;18;20;3;24;8;157;8;28;3;2;393;3;0;0;0;25;421
112;"VIA MAKALLE',18";7;94;26;2;12;26;6;27;17;150;5;29;1;4;406;0;3;0;0;13;422
113;"VIA A. VENERI,57";6;118;32;2;9;14;5;20;6;158;4;22;2;1;399;2;9;0;0;29;439
114;"VIA A. VENERI,57";6;182;39;2;11;36;3;40;14;179;3;19;0;2;536;2;10;0;0;39;587
115;"VIA CASSALA,10";2;109;14;0;4;25;2;30;12;163;7;13;1;0;382;1;7;0;0;30;420
116;"VIA CASSALA,10";5;84;23;0;11;28;7;15;7;160;8;20;2;2;372;3;4;0;0;28;407
117;"VIA F. CAVALLOTTI,56";13;151;44;2;13;47;3;30;13;210;9;47;1;1;584;2;8;0;0;49;643
118;"VIA DEGLI AZZARRI,7";9;213;39;4;4;45;9;23;18;228;5;32;1;4;634;6;16;0;0;46;702
119;"VIA DEGLI AZZARRI,7";11;173;39;1;12;60;6;40;9;233;8;25;1;1;619;5;11;0;0;19;654
120;"VIA L. VAN BEETHOVEN,48/1";9;131;34;3;7;40;5;30;14;209;6;34;4;5;531;1;11;0;0;28;571
121;"VIA L. VAN BEETHOVEN,48/1";7;184;31;0;4;49;4;30;15;162;3;27;0;1;517;2;12;0;0;43;574
122;"VIA L. VAN BEETHOVEN,131";8;110;24;2;3;17;4;34;10;152;4;38;5;2;413;3;17;0;0;40;473
123;"VIALE ISONZO,36";11;93;29;2;9;19;6;29;12;159;4;27;0;2;402;2;3;0;0;35;442
124;"VIA G. BOLOGNESI,2";7;105;49;2;16;31;2;24;16;164;10;23;3;4;456;3;7;0;0;47;513
125;"VIA G. BOLOGNESI,2";7;96;33;4;3;28;3;41;7;181;8;22;0;0;433;1;11;0;0;28;473
126;"VIA SALVADOR ALLENDE,3";4;175;30;1;6;27;4;41;11;178;10;19;0;0;506;3;15;0;0;31;555
127;"VIA SALVADOR ALLENDE,3";6;117;35;2;8;24;3;37;7;220;3;17;4;0;483;0;15;0;0;31;529
128;"VIA SALVADOR ALLENDE,3";9;156;44;3;14;36;14;31;4;185;6;15;7;5;529;4;12;0;0;36;581
129;"VIA G. RINALDI,40/A";14;196;42;2;12;26;7;36;17;240;7;22;1;1;623;1;7;0;0;48;679
130;"VIA R. IOTTI,2";12;144;17;0;7;34;3;33;6;107;3;11;3;0;380;3;7;0;0;35;425
131;"VIA E. FERRI,14";3;179;43;3;4;24;4;35;14;191;3;29;4;0;536;1;4;0;0;35;576
132;"VIA E. FERRI,14";9;142;37;3;10;25;4;32;8;222;7;16;2;1;518;3;10;0;0;40;571
133;"VIA E. FERRI,14";7;145;61;5;9;32;5;31;17;202;10;25;1;5;555;5;9;0;0;33;602
134;"VIALE RISORGIMENTO,80";4;30;6;1;4;3;1;4;1;40;1;2;0;0;97;1;3;0;0;3;104
135;"VIALE RISORGIMENTO,80";4;31;10;0;7;4;2;9;1;40;1;4;0;0;113;1;0;0;0;7;121
136;"VIA L. VAN BEETHOVEN,131";6;132;32;0;7;21;5;33;10;243;7;24;0;1;521;6;8;0;0;54;589
137;"VIA BISMANTOVA,23";3;89;15;1;3;38;3;28;9;193;5;23;2;3;415;1;7;0;0;28;451
138;"VIA M. K. GANDHI,16/C";8;97;36;1;12;18;4;39;12;205;15;28;0;2;477;2;8;0;0;35;522
139;"VIA F.LLI ROSSELLI,41/1";10;161;46;2;13;26;9;39;14;265;10;15;1;2;613;7;9;0;0;35;664
140;"VIALE ISONZO,36";11;132;62;3;18;23;4;37;8;175;17;37;5;3;535;1;1;0;0;45;582
141;"VIA E. FERMI,38";7;180;40;3;11;33;10;34;16;218;9;18;1;1;581;5;16;0;0;46;648
142;"VIA D. FREDDI,41";8;169;49;2;9;33;8;38;16;211;10;31;3;1;588;2;9;0;0;43;642
143;"VIA DON L.STURZO,9";12;141;44;13;7;25;2;44;18;202;11;24;3;0;546;1;8;0;0;51;606
144;"VIA J. F. KENNEDY,20/A";5;127;30;1;9;36;2;20;6;126;7;7;4;0;380;1;4;0;0;36;421
145;"VIA J. F. KENNEDY,20/A";3;86;18;0;9;35;2;15;7;152;3;23;0;2;355;1;9;0;0;20;385
146;"VIA N. LASAGNI,5/A";5;115;27;2;7;21;5;29;11;152;3;29;1;1;408;4;4;0;0;57;473
147;"VIA M.L. KING, 1/A";14;151;38;6;12;38;2;57;23;360;11;36;7;1;756;1;10;0;0;53;820
148;"VIA MEDAGLIE D'ORO RESIST.,2";4;91;25;0;5;15;7;45;11;256;7;18;0;1;485;3;5;0;0;30;523
149;"VIA PREMUDA,36";11;114;35;2;10;28;3;25;16;195;7;24;2;0;472;0;5;0;0;43;520
150;"VIA A. TASSONI,136";8;153;60;0;14;36;0;31;28;240;13;32;4;2;621;4;10;0;0;50;685
151;"VIA P. G. TERRACHINI,20";7;87;37;2;9;16;5;27;7;143;8;24;0;0;372;3;7;0;0;21;403
152;"VIA E. TORRICELLI,35";6;158;49;2;19;31;3;47;20;306;18;33;8;4;704;2;13;0;0;50;769
153;"VIALE UMBERTO I,44";2;100;27;4;6;18;0;21;7;120;11;18;1;0;335;2;3;0;0;29;369
154;"VIA G. BRUNO,29";10;147;37;0;7;27;4;15;6;120;5;6;1;1;386;3;1;0;0;18;408
155;"VIA R. FRANCHETTI,8";5;64;40;1;14;11;4;17;9;71;10;24;3;0;273;0;3;0;0;30;306
156;"VIA B. PASCAL,81";10;122;34;2;10;22;4;31;19;211;6;26;0;1;498;2;9;0;0;30;539
157;"VIA SALVADOR ALLENDE,3";7;113;37;0;6;23;2;41;13;226;9;29;0;0;506;3;5;0;0;42;556
158;"VIA F. P. TOSTI,4";8;81;25;0;3;13;3;12;5;94;8;19;3;0;274;3;2;0;0;21;300
159;"VIA J. WIBICKJ,30";6;97;28;6;8;19;5;27;20;161;7;24;4;1;413;2;6;0;0;39;460
160;"VIA MEDAGLIE D'ORO RESIST.,2";9;104;36;2;8;19;3;29;15;234;8;30;1;2;500;2;2;0;0;43;547
