"N.Sezione";"Desc. Sezione";"COLLOT MARTA";"COLLOT MARTA (Voti Gov.)";"BORGONZONI LUCIA";"BORGONZONI LUCIA (Voti Gov.)";"BENINI SIMONE";"BENINI SIMONE (Voti Gov.)";"BERGAMINI LAURA";"BERGAMINI LAURA (Voti Gov.)";"BONACCINI STEFANO";"BONACCINI STEFANO (Voti Gov.)";"BATTAGLIA DOMENICO";"BATTAGLIA DOMENICO (Voti Gov.)";"LUGLI STEFANO";"LUGLI STEFANO (Voti Gov.)";"Tot. validi";"Schede bianche";"Schede nulle";"Voti nulli";"Voti contestati non assegnati";"Voti Capolista";"Voti totali"
1;"PIAZZETTA CARD. S.PIGNEDOLI,2";6;3;201;7;11;1;3;0;319;33;1;1;3;0;544;3;4;0;0;45;551
2;"PIAZZETTA CARD. S.PIGNEDOLI,2";0;0;220;8;16;2;4;0;285;34;6;4;1;0;532;0;5;0;0;48;537
3;"VIA FILIPPO RE,6";0;0;227;6;9;0;4;0;254;33;2;2;0;0;496;1;10;0;0;41;507
4;"VIA FILIPPO RE,6";3;1;174;9;9;1;3;0;252;23;0;0;1;1;442;5;3;0;0;35;450
5;"VIALE MONTE S. MICHELE,12";2;1;169;11;28;0;3;0;228;20;1;0;1;0;432;2;7;0;0;32;441
6;"VIALE MONTE S. MICHELE,12";2;0;199;8;15;0;4;0;200;13;0;0;4;0;424;3;4;0;0;21;431
7;"VIALE MONTE GRAPPA,8";0;0;197;9;10;1;5;0;240;13;0;0;1;0;453;3;7;0;0;23;463
8;"VIALE MONTE GRAPPA,8";5;3;201;8;15;0;3;1;292;32;1;0;0;0;517;3;3;0;0;44;523
9;"VIA E. FERRI,14";1;0;197;9;26;1;4;0;280;21;4;3;4;0;516;4;13;0;0;34;533
10;"VIALE MONTE S. MICHELE,12";2;1;268;7;8;0;6;0;270;24;1;0;0;0;555;1;5;0;0;32;561
11;"VIA N. LASAGNI,5/A";0;0;171;8;32;3;1;0;298;27;3;3;0;0;505;4;4;0;0;41;513
12;"VIA R. FRANCHETTI,8";1;0;185;8;14;0;3;0;264;32;0;0;2;1;469;2;1;0;0;41;472
13;"VIA R. FRANCHETTI,8";1;0;174;12;4;0;0;0;191;19;0;0;2;0;372;1;3;0;0;31;376
14;"VIA J. F. KENNEDY,20";1;1;174;12;16;0;2;1;236;29;0;0;0;0;429;1;8;0;0;43;438
15;"VIA J. F. KENNEDY,20";0;0;167;4;13;1;2;0;225;22;0;0;0;0;407;2;4;0;0;27;413
16;"VIA J. F. KENNEDY,20";1;1;131;6;26;0;1;0;235;24;1;1;1;1;396;1;3;0;0;33;400
17;"VIA J. F. KENNEDY,20";0;0;174;9;25;1;10;0;284;35;0;0;1;0;494;2;8;0;0;45;504
18;"VIA F. CONFALONIERI,1";0;0;204;10;22;1;8;0;210;19;1;1;1;0;446;2;8;0;0;31;456
19;"VIA F. CONFALONIERI,1";0;0;227;10;28;2;4;1;300;19;2;2;3;1;564;1;10;0;0;35;575
20;"VIA F. CONFALONIERI,1";4;2;206;10;30;1;2;0;322;25;2;1;1;0;567;2;10;0;0;39;579
21;"VIA CELLA ALL'OLDO,8";0;0;167;5;18;3;4;0;272;19;0;0;0;0;461;2;13;0;0;27;476
22;"VIA CELLA ALL'OLDO,8";0;0;264;14;30;1;10;1;349;24;0;0;0;0;653;3;10;0;0;40;666
23;"VIA CELLA ALL'OLDO,8";0;0;169;2;8;0;3;0;274;19;3;0;4;0;461;0;3;0;0;21;464
24;"VIA G. BRUNO,29";0;0;241;8;30;2;2;0;245;22;3;3;0;0;521;4;12;0;0;35;537
25;"VIA GHIARDA,28";0;0;179;7;27;2;3;0;272;31;1;1;1;0;483;3;14;0;0;41;500
26;"VIA G. PUCCINI,4";0;0;128;11;13;0;1;0;196;14;1;1;0;0;339;3;4;0;0;26;346
27;"VIA G. PUCCINI,4";0;0;211;14;22;0;3;0;292;22;1;0;0;0;529;2;6;0;0;36;537
28;"VIA G. PUCCINI,4";0;0;180;11;34;1;4;0;336;27;2;2;6;0;562;4;11;0;0;41;577
29;"VIA G. PUCCINI,4";4;4;202;6;15;2;1;0;323;26;0;0;3;0;548;1;8;0;0;38;557
30;"VIA PREMUDA,36";1;0;132;1;34;0;4;0;318;19;0;0;1;0;490;2;7;0;0;20;499
31;"VIA PREMUDA,36";0;0;160;10;18;1;6;0;317;23;0;0;3;0;504;6;9;0;0;34;519
32;"VIA PREMUDA,36";2;2;141;8;25;0;1;0;384;28;1;1;0;0;554;4;14;0;0;39;572
33;"VIA PREMUDA,34";0;0;212;9;26;3;4;0;404;28;0;0;2;0;648;0;11;0;0;40;659
34;"VIA PREMUDA,34";2;0;171;13;13;0;1;0;288;21;2;2;3;0;480;2;3;0;0;36;485
35;"VIA PREMUDA,34";0;0;165;14;13;1;4;0;279;24;0;0;1;0;462;2;8;0;0;39;472
36;"VIA PREMUDA,34";0;0;244;15;20;0;5;0;355;27;4;4;0;0;628;3;8;0;0;46;639
37;"VIA F. P. TOSTI,4";0;0;166;9;12;2;0;0;302;24;3;2;0;0;483;2;8;0;0;37;493
38;"VIA F. P. TOSTI,4";0;0;133;5;12;0;5;0;179;17;0;0;0;0;329;3;1;0;0;22;333
39;"VIA D. FREDDI,41";1;0;263;4;24;2;2;0;379;31;2;2;0;0;671;2;12;0;0;39;685
40;"VIA D. FREDDI,41";1;0;205;5;34;0;5;0;410;34;10;0;1;0;666;2;10;0;0;39;678
41;"VIA D. F. CECATI,12";0;0;200;12;13;2;7;1;307;25;2;2;3;0;532;2;3;0;0;42;537
42;"VIA D. F. CECATI,12";2;1;261;14;17;0;0;0;361;45;0;0;1;0;642;1;6;0;0;60;649
43;"VIA D. F. CECATI,12";0;0;145;6;11;2;0;0;246;32;0;0;1;0;403;4;1;0;0;40;408
44;"VIA D. F. CECATI,12";1;0;197;13;24;1;5;1;332;29;0;0;2;0;561;0;10;0;0;44;571
45;"VIA BARTOLO DA SASSOFERRATO,24";1;1;172;8;14;1;5;1;345;28;5;5;0;0;542;5;7;0;0;44;554
46;"VIA BARTOLO DA SASSOFERRATO,24";0;0;174;8;22;1;0;0;354;25;4;3;0;0;554;2;9;0;0;37;565
47;"VIA BISMANTOVA,23";0;0;179;9;25;2;3;0;366;37;0;0;2;0;575;1;13;0;0;48;589
48;"VIA BISMANTOVA,23";0;0;155;3;21;0;2;0;247;29;2;1;0;0;427;3;10;0;0;33;440
49;"VIA BISMANTOVA,23";0;0;149;14;23;1;3;0;317;27;0;0;1;1;493;1;5;0;0;43;499
50;"VIA BISMANTOVA,23";1;1;127;7;15;1;3;0;275;19;3;3;0;0;424;5;9;0;0;31;438
51;"VIA BISMANTOVA,23";1;0;122;9;12;0;9;3;257;22;2;0;0;0;403;1;8;0;0;34;412
52;"VIA DELLA CANALINA,21";2;1;125;7;10;2;1;0;286;21;0;0;3;2;427;2;2;0;0;33;431
53;"VIA M. K. GANDHI,16/C";1;0;145;16;20;1;6;0;309;17;0;0;1;1;482;2;12;0;0;35;496
54;"VIA M. K. GANDHI,16/C";4;3;157;12;14;0;3;0;348;33;4;3;2;0;532;4;8;0;0;51;544
55;"VIA M. K. GANDHI,16/C";0;0;186;7;8;0;2;0;371;40;1;1;1;0;569;4;4;0;0;48;577
56;"VIA DELLA CANALINA,21";0;0;127;9;30;0;4;0;508;38;0;0;1;0;670;0;4;0;0;47;674
57;"VIA DELLA CANALINA,21";0;0;177;8;7;0;1;0;311;25;4;4;0;0;500;1;3;0;0;37;504
58;"VIA DELLA CANALINA,21";0;0;225;11;33;2;4;0;354;26;2;2;1;0;619;0;3;0;1;41;623
59;"VIA F.LLI ROSSELLI,41/1";0;0;240;12;21;1;2;0;415;35;0;0;0;0;678;6;17;0;0;48;701
60;"VIA B. PASCAL,81";1;1;154;11;22;1;6;1;368;28;0;0;2;0;553;4;6;0;0;42;563
61;"VIA B. PASCAL,81";2;2;246;13;15;0;0;0;389;36;0;0;1;0;653;4;18;0;0;51;675
62;"VIA B. PASCAL,81";3;2;193;7;17;2;0;0;293;27;5;4;0;0;511;4;5;0;0;42;520
63;"VIA B. PASCAL,81";1;0;206;6;13;1;2;0;422;27;1;0;1;0;646;5;11;0;0;34;662
64;"VIA B. PASCAL,81";0;0;199;2;16;0;4;0;393;33;0;0;0;0;612;3;16;0;0;35;631
65;"VIA GHIARDA,28";0;0;187;8;18;0;2;1;394;20;1;1;1;0;603;3;1;0;0;30;607
66;"VIA R. IOTTI,2";0;0;163;6;16;1;5;1;209;19;0;0;0;0;393;3;4;0;0;27;400
67;"VIALE UMBERTO I,44";3;2;174;6;21;1;0;0;282;21;0;0;2;0;482;0;12;0;0;30;494
68;"VIALE UMBERTO I,44";3;1;143;10;17;1;0;0;220;16;2;2;1;0;386;1;3;0;0;30;390
69;"VIA E. CIALDINI,3";0;0;202;7;12;3;2;0;251;19;1;0;0;0;468;5;13;0;0;29;486
70;"VIA E. CIALDINI,3";1;1;209;9;14;0;2;0;297;28;2;2;0;0;525;0;11;0;0;40;536
71;"VIA J. WIBICKJ,30";4;4;115;2;12;3;5;1;280;21;2;2;2;0;420;1;2;0;0;33;423
72;"VIA J. WIBICKJ,30";0;0;129;5;16;0;0;0;241;12;2;2;1;0;389;4;9;0;0;19;402
73;"VIA J. WIBICKJ,30";0;0;131;7;9;1;1;0;262;12;1;1;0;0;404;1;7;0;0;21;412
74;"VIA MEDAGLIE D'ORO RESIST.,2";0;0;118;7;21;1;6;0;230;22;4;2;2;0;381;1;7;0;0;32;389
75;"VIA MEDAGLIE D'ORO RESIST.,2";0;0;101;6;15;0;1;0;267;19;0;0;0;0;384;0;4;0;0;25;388
76;"VIA MEDAGLIE D'ORO RESIST.,2";1;1;115;5;18;0;5;0;259;17;0;0;2;0;400;1;5;0;0;23;406
77;"VIA MEDAGLIE D'ORO RESIST.,2";0;0;95;3;14;0;0;0;357;22;3;1;6;1;475;2;7;0;0;27;484
78;"VIA M.L. KING, 1/A";1;1;176;12;18;1;7;1;327;26;3;3;1;0;533;2;9;0;0;44;544
79;"VIA M.L. KING, 1/A";1;0;250;8;26;1;2;0;362;21;0;0;1;0;642;5;7;0;0;30;654
80;"VIA M.L. KING, 1/A";1;0;199;10;15;0;2;0;399;37;1;0;0;0;617;2;13;0;0;47;632
81;"VIA M.L. KING, 1/A";0;0;145;12;8;1;1;0;454;26;1;0;1;0;610;4;6;0;0;39;620
82;"VIA M.L. KING, 1/A";1;0;191;3;27;1;7;1;410;27;0;0;2;0;638;2;4;0;0;32;644
83;"VIA A. TASSONI,136";0;0;277;10;19;1;0;0;393;22;3;3;2;0;694;2;4;0;0;36;700
84;"VIA A. TASSONI,136";2;2;295;5;18;3;3;0;374;26;2;2;1;0;695;2;3;0;0;38;700
85;"VIA E. FERMI,38";1;0;255;5;26;1;3;0;351;32;1;1;4;1;641;3;10;0;0;40;654
86;"VIA E. FERMI,38";3;3;221;9;15;0;1;0;417;31;1;1;2;1;660;1;9;0;0;45;670
87;"VIA P. G. TERRACHINI,20";1;1;165;5;15;0;5;0;279;15;0;0;2;0;467;1;2;0;0;21;470
88;"VIA P. G. TERRACHINI,20";1;0;144;11;11;1;4;1;262;22;1;1;0;0;423;3;4;0;0;36;430
89;"VIA P. G. TERRACHINI,20";2;1;180;5;17;0;0;0;261;21;3;3;3;0;466;2;4;0;0;30;472
90;"VIA M.L. KING, 1/A";3;2;215;12;28;3;1;0;305;29;2;2;2;0;556;3;3;0;0;48;562
91;"VIA P. G. TERRACHINI,20";0;0;139;6;7;1;0;0;212;25;1;1;0;0;359;2;14;0;0;33;375
92;"VIA E. TORRICELLI,35";0;0;169;6;18;0;3;0;283;27;0;0;0;0;473;2;7;0;0;33;482
93;"VIA E. TORRICELLI,35";1;1;123;7;10;0;3;1;306;32;2;2;0;0;445;1;2;0;0;43;448
94;"VIA A. TASSONI,136";5;4;243;11;18;0;3;0;409;45;2;2;1;0;681;6;4;0;0;62;691
95;"VIA EMILIA ALL'OSPIZIO,78/80";1;1;252;6;38;1;3;0;271;24;0;0;2;1;567;3;11;0;0;33;581
96;"VIA J. F. KENNEDY,20/A";0;0;158;2;37;2;6;2;326;29;2;2;1;0;530;3;21;0;0;37;554
97;"VIA DON L.STURZO,9";4;1;188;7;24;1;3;0;253;13;3;3;1;0;476;1;5;0;0;25;482
98;"VIA DON L.STURZO,9";2;0;150;4;7;0;0;0;355;28;0;0;1;0;515;0;19;0;0;32;534
99;"VIA DON L.STURZO,9";4;0;151;5;25;0;2;0;308;33;0;0;2;0;492;3;3;0;0;38;498
100;"VIA GATTALUPA,1";1;1;277;12;21;0;6;0;468;51;0;0;3;0;776;5;5;0;0;64;786
101;"VIA GATTALUPA,1";0;0;228;13;23;0;6;0;419;36;3;3;4;0;683;3;14;0;0;52;700
102;"VIA L. PASTEUR,17";0;0;197;4;26;2;5;0;316;42;0;0;0;0;544;1;9;0;0;48;554
103;"VIA L. PASTEUR,17";1;1;184;6;19;1;2;2;408;37;2;2;1;1;617;2;17;0;0;50;636
104;"VIA L. E F. SOCINI,19/B";1;1;187;12;24;3;2;0;416;30;1;1;3;1;634;4;7;0;0;48;645
105;"VIA F. CONFALONIERI,1";1;1;212;7;28;3;8;1;372;40;3;3;4;0;628;4;14;0;0;55;646
106;"VIA V. MAZZELLI,2";1;1;199;8;9;1;0;0;320;23;0;0;0;0;529;3;5;0;0;33;537
107;"VIA V. MAZZELLI,2";0;0;248;18;13;0;5;1;327;37;0;0;2;0;595;2;11;0;0;56;608
108;"VIA DELLA TROMBA 36";1;1;256;17;24;1;3;0;292;12;3;1;1;0;580;7;12;0;0;32;599
109;"VIA N. LASAGNI,5/A";1;1;179;3;22;0;3;0;259;11;2;2;3;0;469;2;9;0;0;17;480
110;"VIA N. LASAGNI,5/A";2;2;195;14;35;0;7;1;259;12;4;3;2;0;504;1;11;0;0;32;516
111;"VIA MAKALLE',18";0;0;142;4;18;1;2;0;250;16;4;4;2;0;418;3;0;0;0;25;421
112;"VIA MAKALLE',18";0;0;138;2;17;0;4;0;257;11;1;0;2;0;419;0;3;0;0;13;422
113;"VIA A. VENERI,57";0;0;170;4;10;0;6;1;239;22;2;2;1;0;428;2;9;0;0;29;439
114;"VIA A. VENERI,57";3;2;244;6;32;1;1;0;292;30;1;0;2;0;575;2;10;0;0;39;587
115;"VIA CASSALA,10";0;0;137;4;18;2;4;2;251;20;2;2;0;0;412;1;7;0;0;30;420
116;"VIA CASSALA,10";1;1;126;4;26;1;8;1;236;21;1;0;2;0;400;3;4;0;0;28;407
117;"VIA F. CAVALLOTTI,56";1;1;232;9;42;2;3;1;352;34;1;1;2;1;633;2;8;0;0;49;643
118;"VIA DEGLI AZZARRI,7";1;1;273;8;40;2;8;0;351;31;3;3;4;1;680;6;16;0;0;46;702
119;"VIA DEGLI AZZARRI,7";1;1;237;0;53;5;7;0;337;12;2;1;1;0;638;5;11;0;0;19;654
120;"VIA L. VAN BEETHOVEN,48/1";0;0;188;5;36;2;5;0;324;21;0;0;6;0;559;1;11;0;0;28;571
121;"VIA L. VAN BEETHOVEN,48/1";0;0;234;12;45;1;4;1;273;27;1;0;3;2;560;2;12;0;0;43;574
122;"VIA L. VAN BEETHOVEN,131";0;0;156;9;14;0;3;0;277;30;1;1;2;0;453;3;17;0;0;40;473
123;"VIALE ISONZO,36";1;1;150;8;16;0;5;0;262;25;1;0;2;1;437;2;3;0;0;35;442
124;"VIA G. BOLOGNESI,2";0;0;196;17;24;0;2;0;279;30;0;0;2;0;503;3;7;0;0;47;513
125;"VIA G. BOLOGNESI,2";2;0;145;6;27;1;2;0;284;20;0;0;1;1;461;1;11;0;0;28;473
126;"VIA SALVADOR ALLENDE,3";0;0;218;2;20;2;4;0;294;26;0;0;1;1;537;3;15;0;0;31;555
127;"VIA SALVADOR ALLENDE,3";0;0;168;4;14;0;4;0;326;27;0;0;2;0;514;0;15;0;0;31;529
128;"VIA SALVADOR ALLENDE,3";0;0;232;7;35;1;12;0;281;27;1;1;4;0;565;4;12;0;0;36;581
129;"VIA G. RINALDI,40/A";0;0;275;11;18;1;7;0;369;34;2;2;0;0;671;1;7;0;0;48;679
130;"VIA R. IOTTI,2";1;1;186;7;28;4;3;0;195;21;2;2;0;0;415;3;7;0;0;35;425
131;"VIA E. FERRI,14";0;0;239;10;21;1;5;0;306;24;0;0;0;0;571;1;4;0;0;35;576
132;"VIA E. FERRI,14";4;3;210;13;23;1;4;0;316;23;0;0;1;0;558;3;10;0;0;40;571
133;"VIA E. FERRI,14";2;0;235;5;21;0;3;0;320;26;1;1;6;1;588;5;9;0;0;33;602
134;"VIALE RISORGIMENTO,80";1;0;44;0;3;0;1;0;51;3;0;0;0;0;100;1;3;0;0;3;104
135;"VIALE RISORGIMENTO,80";0;0;52;1;3;0;2;0;63;6;0;0;0;0;120;1;0;0;0;7;121
136;"VIA L. VAN BEETHOVEN,131";0;0;186;9;22;1;6;1;354;37;4;4;3;2;575;6;8;0;0;54;589
137;"VIA BISMANTOVA,23";1;1;112;5;29;2;3;0;296;20;0;0;2;0;443;1;7;0;0;28;451
138;"VIA M. K. GANDHI,16/C";1;1;155;1;19;1;3;0;332;32;0;0;2;0;512;2;8;0;0;35;522
139;"VIA F.LLI ROSSELLI,41/1";1;1;229;3;26;2;8;1;380;26;2;2;2;0;648;7;9;0;0;35;664
140;"VIALE ISONZO,36";1;1;224;6;18;0;2;0;330;36;2;2;3;0;580;1;1;0;0;45;582
141;"VIA E. FERMI,38";0;0;259;15;25;1;7;0;335;30;0;0;1;0;627;5;16;0;0;46;648
142;"VIA D. FREDDI,41";0;0;245;9;22;0;7;0;354;31;3;3;0;0;631;2;9;0;0;43;642
143;"VIA DON L.STURZO,9";2;1;221;15;21;0;1;0;352;35;0;0;0;0;597;1;8;0;0;51;606
144;"VIA J. F. KENNEDY,20/A";2;2;179;11;32;3;3;0;200;20;0;0;0;0;416;1;4;0;0;36;421
145;"VIA J. F. KENNEDY,20/A";0;0;123;8;33;0;1;0;217;12;0;0;1;0;375;1;9;0;0;20;385
146;"VIA N. LASAGNI,5/A";0;0;169;13;24;3;5;0;263;38;2;2;2;1;465;4;4;0;0;57;473
147;"VIA M.L. KING, 1/A";2;1;233;13;26;1;5;2;536;30;6;6;1;0;809;1;10;0;0;53;820
148;"VIA MEDAGLIE D'ORO RESIST.,2";1;0;125;3;14;1;2;0;372;25;1;1;0;0;515;3;5;0;0;30;523
149;"VIA PREMUDA,36";1;1;181;11;27;2;2;0;304;29;0;0;0;0;515;0;5;0;0;43;520
150;"VIA A. TASSONI,136";0;0;244;13;27;0;1;0;398;37;0;0;1;0;671;4;10;0;0;50;685
151;"VIA P. G. TERRACHINI,20";0;0;141;1;11;0;5;1;235;18;1;1;0;0;393;3;7;0;0;21;403
152;"VIA E. TORRICELLI,35";0;0;243;8;20;1;2;1;485;40;0;0;4;0;754;2;13;0;0;50;769
153;"VIALE UMBERTO I,44";0;0;145;6;9;1;0;0;209;22;1;0;0;0;364;2;3;0;0;29;369
154;"VIA G. BRUNO,29";1;1;203;4;23;0;4;0;172;13;1;0;0;0;404;3;1;0;0;18;408
155;"VIA R. FRANCHETTI,8";1;1;131;7;8;2;1;0;162;20;0;0;0;0;303;0;3;0;0;30;306
156;"VIA B. PASCAL,81";1;1;185;7;15;0;4;0;323;22;0;0;0;0;528;2;9;0;0;30;539
157;"VIA SALVADOR ALLENDE,3";1;1;172;10;22;1;2;0;347;26;4;4;0;0;548;3;5;0;0;42;556
158;"VIA F. P. TOSTI,4";0;0;123;6;7;1;1;0;164;14;0;0;0;0;295;3;2;0;0;21;300
159;"VIA J. WIBICKJ,30";0;0;151;9;15;0;5;0;275;25;5;5;1;0;452;2;6;0;0;39;460
160;"VIA MEDAGLIE D'ORO RESIST.,2";1;1;167;10;19;0;2;0;351;29;3;3;0;0;543;2;2;0;0;43;547
