"data","CASTELLUCCIO","v_CASTELLUCCIO","GIARDINI MARGHERITA","v_GIARDINI MARGHERITA","PORTA SAN FELICE","v_PORTA SAN FELICE","SAN PIETRO CAPOFIUME","v_SAN PIETRO CAPOFIUME"
"2024-12-15 00:00","3","S","19","S","18","S","27","S"
"2024-12-16 00:00","2","S","12","S","18","S","19","S"
"2024-12-17 00:00","4","S","23","S","27","S","19","S"
"2024-12-18 00:00","3","S","27","S","31","S","22","S"
"2024-12-19 00:00","0","S","30","S","23","S","",""
"2024-12-20 00:00","0","S","6","S","4","S","7","S"
"2024-12-21 00:00","0","S","6","S","7","S","12","S"
"2024-12-22 00:00","0","S","18","S","17","S","20","S"
"2024-12-23 00:00","4","S","14","S","17","S","19","S"
"2024-12-24 00:00","4","S","3","S","9","S","8","S"
"2024-12-25 00:00","6","S","10","S","16","S","14","S"
"2024-12-26 00:00","8","S","17","S","24","S","",""
"2024-12-27 00:00","6","S","13","S","17","S","",""
"2024-12-28 00:00","3","S","9","S","10","S","21","S"
"2024-12-29 00:00","1","S","9","S","11","S","25","S"
"2024-12-30 00:00","3","S","19","S","19","S","28","S"
"2024-12-31 00:00","4","S","18","S","20","S","37","S"
"2025-01-01 00:00","3","M","27","M","28","M","61","M"
"2025-01-02 00:00","0","M","34","M","39","M","49","M"
"2025-01-03 00:00","0","M","","","54","M","78","M"
"2025-01-04 00:00","0","M","30","M","24","M","31","M"
"2025-01-05 00:00","0","M","51","M","40","M","43","M"
"2025-01-06 00:00","3","M","53","M","42","M","53","M"
"2025-01-07 00:00","2","M","28","M","19","M","36","M"
"2025-01-08 00:00","0","M","26","M","20","M","24","M"
"2025-01-09 00:00","0","M","19","M","16","M","19","M"
"2025-01-10 00:00","2","M","10","M","12","M","12","M"
"2025-01-11 00:00","4","M","8","M","13","M","11","M"
"2025-01-12 00:00","5","M","15","M","21","M","15","M"
"2025-01-13 00:00","7","M","12","M","19","M","14","M"
"2025-01-14 00:00","6","M","12","M","16","M","11","M"
"2025-01-15 00:00","5","M","17","M","19","M","25","M"
"2025-01-16 00:00","9","M","38","M","40","M","38","M"
"2025-01-17 00:00","6","M","18","M","19","M","20","M"
"2025-01-18 00:00","3","M","23","M","24","M","33","M"
"2025-01-19 00:00","3","M","23","M","21","M","34","M"
"2025-01-20 00:00","0","M","34","M","29","M","46","M"
"2025-01-21 00:00","0","M","33","M","25","M","34","M"
"2025-01-22 00:00","0","M","18","M","10","M","27","M"
"2025-01-23 00:00","1","M","21","M","9","M","22","M"
"2025-01-24 00:00","1","M","21","M","24","M","21","M"
"2025-01-25 00:00","3","M","29","M","24","M","32","M"
"2025-01-26 00:00","2","M","12","M","11","M","12","M"
"2025-01-27 00:00","0","M","4","M","3","M","7","M"
"2025-01-28 00:00","0","M","6","M","4","M","",""
"2025-01-29 00:00","0","M","3","M","6","M","4","M"
"2025-01-30 00:00","3","M","14","M","16","M","22","M"
"2025-01-31 00:00","2","M","28","M","30","M","34","M"
"2025-02-01 00:00","3","G","13","G","16","G","10","G"
"2025-02-02 00:00","2","G","25","G","26","G","19","G"
"2025-02-03 00:00","5","G","23","G","24","G","22","G"
"2025-02-04 00:00","5","G","17","G","19","G","17","G"
"2025-02-05 00:00","3","G","31","G","30","G","33","G"
"2025-02-06 00:00","9","G","33","G","34","G","30","G"
"2025-02-07 00:00","10","G","30","G","32","G","22","G"
"2025-02-08 00:00","0","G","45","G","43","G","38","G"
"2025-02-09 00:00","0","G","16","G","14","G","20","G"
"2025-02-10 00:00","0","G","17","G","18","G","19","G"
"2025-02-11 00:00","0","G","23","G","20","G","25","G"