"data","CASTELLARANO","v_CASTELLARANO","S. LAZZARO","v_S. LAZZARO","S. ROCCO","v_S. ROCCO"
"2024-12-15 00:00","23","S","10","S","16","S"
"2024-12-16 00:00","13","S","17","S","14","S"
"2024-12-17 00:00","25","S","25","S","18","S"
"2024-12-18 00:00","30","S","21","S","21","S"
"2024-12-19 00:00","23","S","28","S","21","S"
"2024-12-20 00:00","4","S","5","S","4","S"
"2024-12-21 00:00","7","S","13","S","17","S"
"2024-12-22 00:00","16","S","22","S","19","S"
"2024-12-23 00:00","11","S","13","S","18","S"
"2024-12-24 00:00","8","S","6","S","9","S"
"2024-12-25 00:00","16","S","14","S","23","S"
"2024-12-26 00:00","16","S","22","S","41","S"
"2024-12-27 00:00","16","S","18","S","36","S"
"2024-12-28 00:00","13","S","15","S","30","S"
"2024-12-29 00:00","11","S","16","S","33","S"
"2024-12-30 00:00","16","S","22","S","34","S"
"2024-12-31 00:00","17","S","21","S","32","S"
"2025-01-01 00:00","31","M","65","M","63","M"
"2025-01-02 00:00","31","M","65","M","61","M"
"2025-01-03 00:00","42","M","62","M","49","M"
"2025-01-04 00:00","32","M","37","M","28","M"
"2025-01-05 00:00","44","M","45","M","40","M"
"2025-01-06 00:00","42","M","38","M","44","M"
"2025-01-07 00:00","22","M","19","M","19","M"
"2025-01-08 00:00","19","M","21","M","22","M"
"2025-01-09 00:00","16","M","16","M","11","M"
"2025-01-10 00:00","13","M","10","M","14","M"
"2025-01-11 00:00","21","M","15","M","20","M"
"2025-01-12 00:00","22","M","19","M","27","M"
"2025-01-13 00:00","23","M","13","M","22","M"
"2025-01-14 00:00","21","M","14","M","19","M"
"2025-01-15 00:00","24","M","23","M","33","M"
"2025-01-16 00:00","30","M","39","M","51","M"
"2025-01-17 00:00","21","M","21","M","26","M"
"2025-01-18 00:00","22","M","24","M","32","M"
"2025-01-19 00:00","19","M","28","M","37","M"
"2025-01-20 00:00","32","M","40","M","40","M"
"2025-01-21 00:00","18","M","27","M","21","M"
"2025-01-22 00:00","21","M","22","M","16","M"
"2025-01-23 00:00","14","M","10","M","11","M"
"2025-01-24 00:00","21","M","15","M","17","M"
"2025-01-25 00:00","32","M","25","M","21","M"
"2025-01-26 00:00","14","M","10","M","9","M"
"2025-01-27 00:00","28","M","21","M","14","M"
"2025-01-28 00:00","3","M","6","M","6","M"
"2025-01-29 00:00","11","M","16","M","18","M"
"2025-01-30 00:00","19","M","24","M","28","M"
"2025-01-31 00:00","26","M","27","M","34","M"
"2025-02-01 00:00","19","G","16","G","18","G"
"2025-02-02 00:00","22","G","22","G","18","G"
"2025-02-03 00:00","22","G","20","G","24","G"
"2025-02-04 00:00","22","G","24","G","",""
"2025-02-05 00:00","","","32","G","29","G"
"2025-02-06 00:00","39","G","35","G","22","G"
"2025-02-07 00:00","34","G","31","G","29","G"
"2025-02-08 00:00","40","G","44","G","39","G"
"2025-02-09 00:00","15","G","13","G","14","G"
"2025-02-10 00:00","18","G","14","G","14","G"
"2025-02-11 00:00","23","G","","","21","G"