Denominazione,Comune,Indirizzo,Partita
VALMAR - S.R.L.,CASTELLO D'ARGILE,VIA DEL LAVORO 8/B,672601200.0
PROMOBIL ATTREZZATURE INDUSTRIALI S.R.L.,MINERBIO,VIA RONCHI VECCHIA 9,2008021202.0
CENTRO ODONTOIATRICO DIAZZI BOLOGNA S.R.L.,BOLOGNA,VIA MATTEOTTI 23,2979811201.0
TABULAE S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA SARAGOZZA 81,3400991208.0
SMCORE S.R.L.,ZOLA PREDOSA,VIA DELLE OFFICINE 5,2907231209.0
B E C S.R.L.,VERGATO,PIAZZA IV NOVEMBRE 7,3409441205.0
AREM ITALIA S.R.L.,SAN GIOVANNI IN PERSICETO,VIA NEWTON 30,1711041200.0
T C B S.R.L.,BOLOGNA,VIA DELLA ZECCA 2,2338891209.0
CONOR VENETO SRL,BOLOGNA,VIA DELLE VITI 7,2864091208.0
GIEFFESTUDIO S.R.L.,CASALECCHIO DI RENO,VIA LIDO 88,3271350377.0
SISTEMI INTEGRATI DI RECUPERO ECOSOSTENIBILE S.R.L. IN SIGLA S.I.R.E.S. S.R.L.,BOLOGNA,VIA TAGLIAPIETRE 8,2203471202.0
SHU AB S.R.L. IN LIQUIDAZIONE,BOLOGNA,GALLERIA DUE AGOSTO 1980 1/CD,3583461201.0
FOLIA PACKAGING S.R.L.,SAN LAZZARO DI SAVENA,VIA CICOGNA 73,3822571208.0
BONFIGLIOLI MARKET SRL,MONTERENZIO,VIA IDICE 161,3620551204.0
TAGLIAVINI ALBERTO S.R.L.,MONTERENZIO,VIA SILLARO 47,1657541205.0
V.M. S.R.L.S.,BORGO TOSSIGNANO,MAZZINI 68,3939661207.0
COPI OFFICE S.R.L.,BOLOGNA,VIALE DELLA REPUBBLICA 31/H,2132431202.0
CMS VIDEO S.R.L.,BUDRIO,VIA 1 MAGGIO 22,3835270376.0
GI.PI.KA.L. SRL,BOLOGNA,GALLERIA DEL LEONE 3,2112831207.0
MONDIAL JOB DUEMILA S.R.L.,BOLOGNA,STRADA MAGGIORE 63/C,2593451202.0
ZEFIRO S.R.L.,SAN GIOVANNI IN PERSICETO,VIA CIRCONVALLAZIONE ITALIA 50,2583901208.0
MOBILITY LIFE S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA DEL FONDITORE 2/7,2535960591.0
DO. M. A.- S.R.L.,BOLOGNA,VIA DI CORTICELLA 56,578320376.0
SUPER CAR S.R.L.,SAN PIETRO IN CASALE,VIA CENACCHIO 75,2011391204.0
TERRANTICA S.R.L.,BOLOGNA,VIALE GOZZADINI 19,2588071205.0
FRESNEL S.R.L.,BOLOGNA,VIA GIACOMO MATTEOTTI 31/2,3834731204.0
GP SERVICE S.R.L.,IMOLA,VIA UGO LAMBERTINI 6,3079691204.0
ZERENI MULTISERVICE S.R.L.S.,VERGATO,VIA BERLEDA 596,3891521209.0
LA*QUERCIA S.R.L.,BOLOGNA,VIA RIVA RENO 98,3685310371.0
FRANCESCHINI S.R.L.,CASTEL SAN PIETRO TERME,VIA CA' BIANCA 131/2,1541851208.0
ACRIPOLI S.R.L.,MONZUNO,LIBERO GRASSI 13,681401204.0
IMMOBILIARE EVERGREEN S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA FRANCESCO ZANARDI 231,3119661209.0
MORINI VERDE S.R.L.,PIANORO,VIA RIO FABBIANI 5,3083391205.0
NUOVA GENERAZIONE SRL,CREVALCORE,VIA G. PASCOLI 104/M,3417161209.0
IMPRESA FUTURA S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA GIUSEPPE MASSARENTI 157/4,3374631202.0
NEW SERVICE S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA GIUSEPPE GARIBALDI 7,2740021205.0
FARINISEI S.R.L.,BOLOGNA,VIA LUIGI CARLO FARINI 6,3548091200.0
ORSOLA SRL,BOLOGNA,VIALE ORIANI 33,2225571203.0
LAFE' S.R.L.S.,BOLOGNA,VIA AUGUSTO ROMAGNOLI 53/F,3615361205.0
NUOVO MONDO INTERNATIONAL S.R.L..,BOLOGNA,VIA DON LUIGI STURZO 52/A,1660001205.0
LA SORBETTERIA CASTIGLIONE S.R.L.,BOLOGNA,VIA CASTIGLIONE 44,4219680370.0
RMS ENGINEERING SRL IN LIQUIDAZIONE,CASTEL SAN PIETRO TERME,VIA MOLISE 24,3006461200.0
PIEMONTE MONTAGGI S.R.L.,CASTENASO,VIA BRUNO TOSARELLI 322,3583501204.0
LA ROSA IMOLA S.R.L.,IMOLA,VIA TOGLIATTI 20,3401581206.0
MEDIACONNECT SRL IN LIQUIDAZIONE,BOLOGNA,PIAZZA MINGHETTI 4/D,3444861201.0
STUDIO SERVIZI CONTABILI S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA ALTABELLA 21,2842631208.0
BMB SRL,VALSAMOGGIA,VIA MUZZA SPADETTA 43,3629581202.0
PROSIT INTERNATIONAL S.R.L.,BOLOGNA,VIA ENRICO MATTEI 102,3949111201.0
HOME SERVIZI S.R.L.,BOLOGNA,VIA LAPIDARI 18/M,3161821206.0
EMME.C.ELLE COSTRUZIONI GENERALI S.R.L.,IMOLA,VIA ALLENDE 1,3478031200.0
ALBA S.R.L.,BOLOGNA,VIA G.B. MELLONI 24,4106980370.0
T.EMME S.R.L. IN LIQUIDAZIONE,MALALBERGO,VIA NAZIONALE 246,676851207.0
RENO ACCIAI S.R.L.,BOLOGNA,VIA FARINI 24,3211261205.0
SERVIZI PER ESTETICA S.R.L.,IMOLA,VIA F.LLI BANDIERA 22,2257051207.0
JOLEEN S.R.L.,ARGELATO,VIA DEI LANAIOLI BLOCCO 12 S.N.C.,3628221206.0
FAST SERVICE SRL,BOLOGNA,VIA ADA NEGRI 15,2467161200.0
S.B.R. SOLUTIONS S.R.L.,ZOLA PREDOSA,VIA RISORGIMENTO 432/2A,3732571207.0
ELCONTROL ENERGY NET S.R.L.,MARZABOTTO,VIA DELL'INDUSTRIA 32,3448841209.0
PAOLO & FRANCO TAROZZI S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIALE GIOSUE CARDUCCI 40,548381201.0
AMUS S.R.L.,SAN LAZZARO DI SAVENA,VIA GALLETTA 22,3873191203.0
BTC SRL,IMOLA,VIA COLOMBAROTTO 34,2489471207.0
IPE S.R.L. - SOCIETA' BENEFIT,ZOLA PREDOSA,VIA ENRICO MATTEI 1,3007721206.0
MCOM PARTECIPAZIONI SRL,CASTEL GUELFO DI BOLOGNA,VIA DELL'ARTIGIANATO 21,3951381205.0
ELECTRONIC FUTURE WORLD E.F.W. - S.R.L. (13),BOLOGNA,VIA MENGOLI 30,2441500374.0
LALUNA S.R.L.,BOLOGNA,VIALE MELICONI 1,2149661205.0
FIORONI S.R.L.,BOLOGNA,VIA DELLA GRADA 6/B,2839181209.0
WIP CREATIVE ARTS & MEDIA SRL,SASSO MARCONI,VIA GARIBALDI 1,3109341200.0
SOLAREVOLVE S.R.L.,BOLOGNA,VIALE ORIANI 31,3280891205.0
AQCERT S.R.L.,BOLOGNA,VIA DEI LAPIDARI 12,3180531208.0
EDIL C.I.A. S.R.L.,IMOLA,VIA DELL'AGRICOLTURA 7,1630361200.0
MUSA S.R.L.,BOLOGNA,VIA SAN VITALE 40/3C,2919241204.0
C.C.L. PARTECIPAZIONI SRL,BOLOGNA,VIA DOMOKOS 5,2958531200.0
AREA 4 SRL,BOLOGNA,VIA PAOLO CANALI 1,3540231200.0
CARAMARIA - S.R.L.,MEDICINA,VIA S. PERTINI 15/A,4195040375.0
MALU' SRL SEMPLIFICATA,SAN GIOVANNI IN PERSICETO,VIA A.VESPUCCI 17,3631091208.0
KEON S.R.L. IN LIQUIDAZIONE,BOLOGNA,VIA DELL INDUSTRIA 33,3347681201.0
COSTRUZIONI EDILI VICIGRADO S.R.L. ABBREVIABILE IN C. E. VI. S.R.L. IN LIQUIDAZIONE,SANT'AGATA BOLOGNESE,VIA FILIPPO TURATI 17,2825521202.0
LANDUZZI S.R.L.,BOLOGNA,VIA DEGLI ORTOLANI 34/F,4071160370.0
GI.MA. S.A.S. DI SOPRANI ALEX E C.,SASSO MARCONI,VIA BRENTO 4,2370081206.0
FOR. PLAST S.A.S. DI FORLANI CLAUDIO E C.,CASTEL MAGGIORE,VIA MARINO SERENARI 27/C,1674351208.0
VCA DI CHEN XIAOLIANG E QIU MIAOJUN & C. SAS,IMOLA,VIA PAMBERA 47/A,3735971206.0
IL LABORATORIO DEL GUSTO SAS DI AFFUSO CLAUDIO & C.,BOLOGNA,VIA CLAUDIO TREVES 13/E,3068391204.0
STUDIO BENVENUTI S.A.S. DI BENVENUTI STEFANO & C.,BOLOGNA,VIA COLLEGIO DI SPAGNA 15,3430720379.0
ORIS CARE DI BONI FEDERICO E C. S.A.S.,ZOLA PREDOSA,VIA CARDUCCI 18,2670191200.0
MACELLERIA BIAGIOLI S.A.S. DI BIAGIOLI ELENA,BOLOGNA,VIA SIGONIO 4,2638681201.0
D.M.D. S.A.S. DI LORENZINI MATTEO & C.,LOIANO,VIA NAPOLEONICA 5,3297821203.0
PEDRETTI S.A.S. DI MARCO PEDRETTI ED EREDI SERGIO PEDRETTI,BOLOGNA,VIA CORTICELLA 181,325220374.0
FALEGNAMERIA FINESTRELLI DI ANTONIO FINESTRELLI & C. S.A.S.,GAGGIO MONTANO,VIA VIVALLE 183,2087471203.0
LE LINEE DEL BERE DI PAOLO MAGNONI & C. - S.A.S.,BOLOGNA,VIA C. BATTISTI 11,4187590379.0
A & A S.A.S. DI CIRILLO ANTONIO,PIEVE DI CENTO,VIA GIUSEPPE LANDI 9/D,2137401200.0
LA VERA MOZZARELLA DELLA CAMPANIA S.A.S. DI GIUSEPPE FIOLA & C.,MEDICINA,VIA SAFFI 112,2366231203.0
SUPER SAS DI GOLFARINI FAUSTO,BOLOGNA,VIA DEI MIRTILLI 7,2807811209.0
IMMOBILIARE R. - & I. SAS DI ZUDOR IZABELLA ANDREA & C.,GRANAROLO DELL'EMILIA,VIA GRAMSCI 30,2114171206.0
SIAL FOOD SAS DI MUHAMMAD SHAFIQ & C.,BOLOGNA,VIA ENRICO MATTEI 17/4,3309251209.0
CAFFE' DEI CANTANTI S.A.S. DI LO PINTO DANIELE,BOLOGNA,VIA MAZZINI 13/C,2765611203.0
TECNO*FOOD ENGINEERING GROUP DI DONNINI CARLO E C.- S.A.S.,BOLOGNA,VIA KHARKOV 15,3117880371.0
BERGOSOFT DI BERGONZINI STEFANO E C. S.A.S.,BOLOGNA,VIA ERMETE ZACCONI 1/6,2860271200.0
FUTURA MOTORS S.A.S. DI FARINELLI ANDREA & C.,MONTERENZIO,VIA FAETO 12,1898301203.0
ORTOFRUTTICOLA*SAN*LAZZARO DI AURELIO MINOCCHERI & C. - S.A.S.,CASTEL MAGGIORE,VIA BONORA 15,547641209.0
COMMERCIAL SAP DI JAVED ASIF & C. S.A.S.,BOLOGNA,VIA ERMETE ZACCONI 3,2945281208.0
CENTRO CONTABILE EMILIA S.A.S. DI BRUNO MERLA VITALONE & C.,BOLOGNA,VIA ARNO 27,4288460373.0
BAR ASMARA DI TESGAYE TEKELU YEMANE & C. S.A.S.,BOLOGNA,VIA FIORAVANTI 95,4225720376.0
CASINO' ROYALE CAFE' DI MCCULLOCH BRYAN & C. SAS,MOLINELLA,VIA MATTEOTTI 7/A,3505071203.0
CENTRO SOCCORSO STRADALE DI MICHELE DELFIORE & C. S.A.S.,BOLOGNA,VIA DEL GOMITO 13,885901207.0
EUROKLIMABUS S.A.S. DI BORSARINI MARCO & C.,OZZANO DELL'EMILIA,VIA PIEMONTE 33,1726131202.0
IMMOBILIARE CENTRO DI MOSCARIELLO ANDREA & C. S.A.S.,BOLOGNA,VIA SANTO STEFANO 16,3044430373.0
MERRY DI MIMOSA S.A.S. DI PIER LUIGI MARANI & C.,BOLOGNA,VIA TOSCANA 28,408100378.0
CABI S.A.S. DI ENRICO BIGI E C.,CASALECCHIO DI RENO,VIA RONZANI 5/3,2215001203.0
SELMED S.A.S. DI MATTEO MASCHERINI E C.,MONTE SAN PIETRO,VIA LAVINO 334/1,3261361202.0
IMMOBILIARE LUNGHI S.A.S. DI LUNGHI MARA & C.,BOLOGNA,VIA DEL FONDITORE 53/2,1803211208.0
RENTAL & SPORT DI GIACCHE' CARLO & C. S.A.S.,BOLOGNA,VIA DEI LAPIDARI 13,2274031208.0
D.G.T. SERVICE SAS DI TROLLI MARCO E C.,BOLOGNA,VIA BARTOLOMEO PASSAROTTI 46/D,3115101200.0
IL RAGGIO DI SOLE S.A.S. DI GROSU VERA & C.,ZOLA PREDOSA,VIA DELLA FORNACE 15,2878501200.0
SUN IMMOBILIARE DI CLAUDIO E MARIA SOLE ANTONIONI S.A.S.,BOLOGNA,VIA CADRIANO 4/2,2606981203.0
VAMA DI CAVAZZA VALERIO E C. SOCIETA' IN ACCOMANDITA SEMPLICE (ENUNCIABILE COME VAMA DI CAVAZZA VALERIO E C. S.A.S.),SASSO MARCONI,MATTEOTTI 2,541651204.0
ONDE SONORE DI LUDOVICA FANIZZI & C. S.A.S.,BOLOGNA,VIA ARISTOTELE FIORAVANTI 7,3896891201.0
OTTICA GIULIETTI E GUERRA 3 S.A.S. DI MOLINARI FILIPPO E C.,BOLOGNA,VIA BATTINDARNO 376,2783091206.0
MARANI STEFANO S.A.S.,ARGELATO,VIA CENTESE 97,3383341207.0
LULAKI SAS DI VINCENZI MILOS E C.,BOLOGNA,VIA MASSARENTI 400/2,3664101205.0
BELIVER'S S.A.S. DI MUHAMMAD UMAIR ASLAM & C.,BOLOGNA,VIA A. SAFFI 22/B-C,3854071200.0
HUNG YUEH YING E C. S.A.S.,BOLOGNA,VIA DELLA BEVERARA 131/12,3658180371.0
FIVE STAR SAS DI NUMAIR MEHMOOD & C.,BARICELLA,VIA SAVENA VECCHIA 609,2830931206.0
TERMOIDRAULICA FORNI DI GIUSEPPE FORNI & C. S.A.S,SAN GIOVANNI IN PERSICETO,VIA SICILIA 13,517771200.0
TARTAGLIA S.A.S. DI TARTAGLIA TAMARA & C.,CASTEL GUELFO DI BOLOGNA,VIA LARGA 3,2033981206.0
PAOLO E TOM PNEUMATICI S.A.S. DI CAVINA PALMIRO & C.,MINERBIO,VIA E.MATTEI 4,1223320373.0
CAFFE' DEL CORSO S.A.S. DI FRABBI ANDREA & C.,SAN PIETRO IN CASALE,VIA MATTEOTTI 114,3233021207.0
L'ANGOLO DEL PANE DI LEONE GIUSEPPINA SAS,IMOLA,VIA D'AZEGLIO 28/A,2988811200.0
BAR IL PORTICO DI CRUZ MOLINA JOHANA DEL SOCORRO & C. S.A.S.,BOLOGNA,VIA EMILIA PONENTE 284/A,2011651201.0
SAPORI DI FRUTTA S.A.S. DI ANWAR MAQSOOD E C.,BOLOGNA,VIA DAGNINI 21/B,2464901202.0
MINGA S.A.S. DI MONICA TULIPANI E C.,ZOLA PREDOSA,VIA MASINI 19,2617131202.0
LA MEDICINESE STUCCHI S.A.S. DI GRAZIA FABRIZIO,MEDICINA,VIA FIORENTINA 1630,596381202.0
VERNICIATURA 2000 DI MUSOLESI VALERIANO E C. S.A.S.,PIANORO,VIA GARGANELLI 18,540491206.0
S.E.GE.A. S.A.S. DI GIORDANI PAOLA & C.,BOLOGNA,VIA GUELFA 76,3997220375.0
TOUR S.A.S. DI SANTOLI PAOLO & C.,DOZZA,VIA POGGIACCIO 62/A,3763980376.0
CENTRO OTTICO CASTEL MAGGIORE S.A.S. DI FALCONE GIANLUCA & C.,CASTEL MAGGIORE,VIA GRAMSCI 125,2635891209.0
3 - REAL INVESTMENT S.A.S DI PANZIERA ANDREA & C.,SAN LAZZARO DI SAVENA,VIA A. ZUCCHI 21/I,2731761207.0
FORTUNA S.A.S. DI ORTENSI LUCA & C.,ZOLA PREDOSA,VIA VALLE 1/2,2212201202.0
LABORATORIO ODONTOTECNICO*A.M. DI ALBERGHINI GIANLUCA & C. S.A.S.,BOLOGNA,VIA ZANARDI 74/D,4022890372.0
MORGANS CAFFE' DI MARTINI GENNARO & C. SAS,ARGELATO,BLOCCO 3B GALLERIA B 75,3092991201.0
MEZEL G & G DI CALDARA CARMELINA & C. S.A.S.,SAN LAZZARO DI SAVENA,VIA EMILIA 150,3365551203.0
TERMOIDRAULICA FIORINI DI LUCA FIORINI E C. S.A.S.,SAN GIOVANNI IN PERSICETO,VIA NUOVA 15/C,2038891202.0
PICCOLO BAR SAS DI FRANCO DAVIDE E C.,BOLOGNA,VIA BERTIERA 10,1985691201.0
ALE S.A.S. DI KADIU ELVIS & C.,BOLOGNA,VIA DELLE BELLE ARTI 11/B,2980571208.0
PASTICCERIA*SANT'ISAIA S.A.S. DI SIMIANI DANIELE &C.,BOLOGNA,VIA DEI LAMPONI 15,3543730372.0
CARASTAN S.A.S. DI CARASTAN IGOR & C.,BOLOGNA,VIA DELLE BELLE ARTI 48,3355041207.0
C.P. DI CRISTINA PENACCHIONI & C. S.A.S.,BUDRIO,VIA MARCONI 49,1593661208.0
INTERTRADE S.A.S. DI SALAS MOHAMED & C.,BOLOGNA,VIA DEL CARPENTIERE 56,2727861201.0
PUCCIACAFFE' S.A.S. DI PUCCIARELLI MICHELE E C.,BOLOGNA,VIA RIVA DI RENO 56/A,3126251200.0
VAP SERVIZI S.A.S. DI QUERCI PAOLO,ALTO RENO TERME,VIA MAZZINI 208,2697401202.0
XIEFU INVESTMENT ITALIA DI VERONESI ROBERTA & C. SAS,ARGELATO,BLOCCO 3B GALLERIA B 75,3234541203.0
AZIENDA AGRICOLA CA' ISOTTA SOCIETA' AGRICOLA DI ILEANA ZIRONDOLI E C. S.A.S.,VALSAMOGGIA,VIA PROVVIDENZA 557,1630641205.0
CORBEZZOLO DI BIANCHI MARIA PIA & C. S.A.S.,SASSO MARCONI,VIA DELL'OROLOGIO 65,806021200.0
STUDIO TOMBA DI TOMBA MICHELE E C. S.A.S.,BOLOGNA,VIA PORRETTANA 44,1871271209.0
DANNEK SAS DI LITON MOHAMMED E C.,BOLOGNA,VIA MARSALA 31/B,2597101209.0
MAZZETTI S.A.S. DI MAZZETTI MARCO & C.,BOLOGNA,VIA FIORAVANTI 42/A,2211801200.0
SANYLUX S.A.S. DI DONATI STEFANO & C.,MONZUNO,LOCALITA' BRAINE 57/A,1200310371.0
DUE ELLE S.A.S. DI CHIARA BONAGA & C.,BOLOGNA,VIA CAPRARIE 7,2181040375.0
VA.BO. COSTRUZIONI S.A.S. DI VACCARI GEOM. DARIO E C.,CASTEL MAGGIORE,VIA LIRONE 80,2095561201.0
A.M. NATT S.A.S. DI AKHTAR MAHMOOD & C.,BOLOGNA,VIA FERRARESE 67/E,3085151201.0
MARA PACCHIONI S.A.S. DI CLO' LARA & C.,VALSAMOGGIA,VIA GRAZIA DELEDDA 7/2,2314381209.0
GAMMA S.A.S. DI ZUDOR IZABELLA ANDREA & C.,GRANAROLO DELL'EMILIA,VIA GRAMSCI 30,1642591208.0
LASS INTERNATIONAL S.A.S. DI SABINI GIUSEPPE & C.,BOLOGNA,VIA SAN GERVASIO 05,4051400374.0
MOVE IN LIFE DI UMBERTO GALLINI & C. S.A.S.,BOLOGNA,VIA ALTABELLA 11,2573971203.0
S.A.S. GARAGNANI ASSFINGESCO DI MARZOCCHI CHIARA E C.,BOLOGNA,VIALE PIETRAMELLARA 33,1101700373.0
